,shelter_index,shelter_yoy,shelter_weight,shelter_contribution,food_index,food_yoy,food_weight,food_contribution,energy_index,energy_yoy,energy_weight,energy_contribution,medical_index,medical_yoy,medical_weight,medical_contribution,transportation_index,transportation_yoy,transportation_weight,transportation_contribution,apparel_index,apparel_yoy,apparel_weight,apparel_contribution,tracked_contribution
2019-01-01,312.998,3.2271043787700293,0.369,1.190801515766141,256.533,1.6467427697452575,0.135,0.22231027391560979,204.34,-5.771137395955817,0.065,-0.37512393073712813,489.968,1.907457825236003,0.065,0.1239847586403402,205.719,-1.5528990639536056,0.085,-0.13199642043605647,124.466,-0.31156141123703796,0.025,-0.007789035280925949,1.0221871618679803
2019-02-01,314.072,3.386616806678444,0.369,1.2496616016643458,257.253,1.977690039006741,0.135,0.26698815526591,208.144,-5.449689062918761,0.065,-0.35422978908971947,490.16,1.7774086378737453,0.065,0.11553156146179344,207.495,-1.4116294318322176,0.085,-0.1199885017057385,124.526,-1.043396721207257,0.025,-0.026084918030181425,1.1318781095664099
2019-03-01,315.051,3.3591197196960687,0.369,1.2395151765678494,257.681,2.106472767618328,0.135,0.2843738236284743,214.934,-0.3643612089745951,0.065,-0.023683478583348683,491.412,1.7251872368437393,0.065,0.11213717039484306,210.097,0.6939884686722797,0.085,0.05898901983714378,123.666,-2.231814624196571,0.025,-0.05579536560491427,1.6155363462400478
2019-04-01,316.172,3.4188146015962317,0.369,1.2615425879890094,257.325,1.7629821210359609,0.135,0.23800258633985474,222.42,1.4851823968243139,0.065,0.0965368557935804,492.97,1.9424000727908952,0.065,0.1262560047314082,213.037,1.6679233757432854,0.085,0.14177348693817926,123.901,-2.689945494243118,0.025,-0.06724863735607794,1.7968628844359542
2019-05-01,317.03,3.3317253787384926,0.369,1.2294066647545037,257.818,1.9591559098962152,0.135,0.26448604783598906,220.523,-0.23615100997533833,0.065,-0.015349815648396992,494.859,2.1290164134039724,0.065,0.1383860668712582,211.761,0.5627421928424914,0.085,0.04783308639161177,123.764,-2.9027803928952545,0.025,-0.07256950982238136,1.5921925403825843
2019-06-01,317.949,3.504751239489168,0.369,1.2932532073715028,257.952,1.8900567609522634,0.135,0.25515766272855556,214.926,-2.7250879170117814,0.065,-0.1771307146057658,495.745,1.9612964794974985,0.065,0.1274842711673374,209.25,-0.7494189631456649,0.085,-0.06370061186738152,124.75,-1.2928851753386539,0.025,-0.03232212938346635,1.4027416854107821
2019-07-01,318.777,3.4822269112157134,0.369,1.2849417302385981,258.059,1.7590832735274065,0.135,0.2374762419261999,216.696,-1.4700198700489775,0.065,-0.09555129155318354,497.714,2.5694183980908614,0.065,0.167012195875906,209.934,-0.25324635215973057,0.085,-0.0215259399335771,124.731,-0.7519335433973096,0.025,-0.01879833858493274,1.5535545979690104
2019-08-01,319.37,3.3546491307555826,0.369,1.2378655292488099,258.288,1.7086107840550646,0.135,0.23066245584743375,213.847,-4.010216311085779,0.065,-0.26066406022057564,500.662,3.38424814102789,0.065,0.21997612916681286,209.27,-1.2145787210339654,0.085,-0.10323919128788707,124.532,0.8756510680350882,0.025,0.021891276700877205,1.346492139455471
2019-09-01,320.436,3.52608215248027,0.369,1.3011243142652196,258.865,1.794323284913224,0.135,0.24223364346328527,213.015,-4.884909914938285,0.065,-0.3175191444709885,501.71,3.437043206834911,0.065,0.22340780844426922,209.085,-1.7152876362029557,0.085,-0.14579944907725123,124.795,-0.27808187433575604,0.025,-0.006952046858393901,1.2964951257661406
2019-10-01,320.862,3.3701566683097095,0.369,1.2435878106062828,259.434,2.0710548058386236,0.135,0.2795923987882142,215.268,-4.757943916963836,0.065,-0.30926635460264934,506.433,4.278989893998175,0.065,0.2781343431098814,210.25,-1.669628659620237,0.085,-0.14191843606772014,123.489,-2.0091889446996913,0.025,-0.05022972361749228,1.2999000382165165
2019-11-01,321.611,3.329831291546581,0.369,1.2287077465806884,260.048,2.0248188412904655,0.135,0.27335054357421285,217.488,-0.4631578947368431,0.065,-0.0301052631578948,508.315,4.245152425581655,0.065,0.2759349076628076,211.286,0.1265288907633888,0.085,0.010754955714888048,123.55,-1.2382193302904132,0.025,-0.03095548325726033,1.7276874071174417
2019-12-01,322.247,3.2406161495777352,0.369,1.1957873591941843,260.483,1.8000836339334914,0.135,0.24301129058102136,221.18,3.534147825679912,0.065,0.22971960866919428,510.875,4.511885765721524,0.065,0.29327257477189905,213.354,2.2814544931565983,0.085,0.19392363191831088,122.859,-1.2038019878413575,0.025,-0.030095049696033938,2.1256194154385755
2020-01-01,323.487,3.3511396238953717,0.369,1.236570521217392,261.293,1.8555117665173704,0.135,0.250494088479845,220.147,7.735636683958114,0.065,0.5028163844572774,511.854,4.46682232309048,0.065,0.2903434510008812,213.14,3.607347887166479,0.085,0.3066245704091507,122.477,-1.5980267703629814,0.025,-0.039950669259074534,2.546898346305472
2020-02-01,324.483,3.314845003693412,0.369,1.2231778063628689,261.962,1.8304937163026391,0.135,0.2471166517008563,214.294,2.9546852179260563,0.065,0.19205453916519366,512.967,4.652970458625738,0.065,0.302443079810673,211.402,1.8829369382394656,0.085,0.16004963975035458,122.952,-1.2639930616899275,0.025,-0.03159982654224819,2.093241890247698
2020-03-01,324.54,3.0118933125113267,0.369,1.1113886323166795,262.622,1.9174871255544845,0.135,0.2588607619498554,201.681,-6.166078889333459,0.065,-0.40079512780667487,514.743,4.747747307758066,0.065,0.30860357500427427,204.709,-2.5645297172258497,0.085,-0.21798502596419725,121.558,-1.7045913994145456,0.025,-0.04261478498536364,1.0174580305145735
2020-04-01,324.391,2.5995344306263712,0.369,0.9592282049011309,266.37,3.51501020110756,0.135,0.4745263771495207,182.586,-17.90936066900457,0.065,-1.164108443485297,516.77,4.827879992697315,0.065,0.31381219952532546,192.375,-9.698784718147557,0.085,-0.8243967010425425,117.065,-5.517308173461066,0.025,-0.13793270433652666,-0.3788710672883891
2020-05-01,324.973,2.505441125445551,0.369,0.9245077752894083,268.086,3.982654430644894,0.135,0.5376583481370607,180.04,-18.357722323748547,0.065,-1.1932519510436557,519.152,4.909075110283956,0.065,0.31908988216845713,188.733,-10.874523637496992,0.085,-0.9243345091872444,114.244,-7.692059080184865,0.025,-0.19230147700462163,-0.5286319316405956
2020-06-01,325.425,2.3513204947963384,0.369,0.8676372625798489,269.553,4.497348343877938,0.135,0.6071420264235217,188.734,-12.186520011538848,0.065,-0.7921238007500251,520.867,5.067524634640774,0.065,0.32938910125165033,192.554,-7.978972520908001,0.085,-0.6782126642771801,115.665,-7.2825651302605205,0.025,-0.18206412825651302,0.15176779697130255
2020-07-01,326.249,2.3439583156877886,0.369,0.864920618488794,268.532,4.05837424774953,0.135,0.5478805234461865,191.966,-11.412301103850552,0.065,-0.7417995717502859,522.675,5.015129170567834,0.065,0.3259833960869092,197.289,-6.0233216153648295,0.085,-0.5119823373060105,116.576,-6.538069926481793,0.025,-0.16345174816204483,0.3215508808035486
2020-08-01,326.782,2.320819112627981,0.369,0.8563822525597249,268.957,4.130660348138515,0.135,0.5576391469986995,193.307,-9.604997965835393,0.065,-0.6243248677793005,522.922,4.446113345929992,0.065,0.28899736748544946,199.971,-4.443541835905773,0.085,-0.3777010560519907,116.907,-6.1229242283108,0.025,-0.15307310570777,0.5479197375048127
2020-09-01,327.043,2.0618781909648165,0.369,0.7608330524660173,269.043,3.9317791126648904,0.135,0.5307901802097602,196.705,-7.656737788418644,0.065,-0.49768795624721185,522.947,4.232923401965283,0.065,0.2751400211277434,202.572,-3.115001076117374,0.085,-0.2647750914699768,117.157,-6.120437517528754,0.025,-0.15301093793821885,0.6512892681481135
2020-10-01,327.421,2.0441809874650163,0.369,0.754302784374591,269.653,3.93895942706044,0.135,0.5317595226531594,196.113,-8.89821060259769,0.065,-0.5783836891688499,520.943,2.865137145486174,0.065,0.1862339144566013,203.23,-3.338882282996436,0.085,-0.28380499405469706,117.158,-5.1267724250743,0.025,-0.12816931062685752,0.4819382276339472
