,shelter_index,rent_index,oer_index,headline_index,shelter_yoy,rent_yoy,oer_yoy,headline_yoy
2019-01-01,312.998,325.314,320.571,252.561,3.2271043787700293,3.4282789295808636,3.197944868125835,1.4875893578291333
2019-02-01,314.072,326.22,321.56,253.319,3.386616806678444,3.508671730728974,3.324732578651912,1.5188615351321877
2019-03-01,315.051,327.539,322.538,254.277,3.3591197196960687,3.689317314845586,3.3090225395330686,1.8831863513063984
2019-04-01,316.172,328.816,323.616,255.233,3.4188146015962317,3.740535083291263,3.3358985084730675,2.000583470209061
2019-05-01,317.03,329.617,324.449,255.296,3.3317253787384926,3.7294738895917057,3.338238291800444,1.7959105553606136
2019-06-01,317.949,330.919,325.418,255.213,3.504751239489168,3.864321876167165,3.4156417834556807,1.671194894390049
2019-07-01,318.777,331.935,326.218,255.802,3.4822269112157134,3.84586506153759,3.372246305168969,1.826331335037068
2019-08-01,319.37,332.781,327.043,256.036,3.3546491307555826,3.71532755719004,3.3520206297640076,1.7376412106666406
2019-09-01,320.436,333.92,327.953,256.43,3.52608215248027,3.842792858631139,3.4176875896756664,1.6844977040391562
2019-10-01,320.862,334.558,328.581,257.155,3.3701566683097095,3.755966096753882,3.321510103201719,1.7339736996186295
2019-11-01,321.611,335.484,329.44,257.879,3.329831291546581,3.661863901394491,3.269166266993917,2.092290394862917
2019-12-01,322.247,336.418,330.255,258.63,3.2406161495777352,3.702128184261788,3.276658421337375,2.3195274699624457
2020-01-01,323.487,337.591,331.327,259.127,3.3511396238953717,3.7738923009768888,3.355262952668814,2.599767976845202
2020-02-01,324.483,338.489,332.056,259.25,3.314845003693412,3.7609588621175805,3.2640875730812313,2.3413166797595197
2020-03-01,324.54,339.502,332.877,258.076,3.0118933125113267,3.652389486442842,3.205513768920243,1.4940399642909163
2020-04-01,324.391,340.225,333.532,256.032,2.5995344306263712,3.4697216680453558,3.06412538317018,0.3130472940411133
2020-05-01,324.973,341.007,334.293,255.802,2.505441125445551,3.455525655533531,3.0340669874155957,0.1982013035848551
2020-06-01,325.425,341.524,334.617,257.042,2.3513204947963384,3.204711727038956,2.8268258055792916,0.7166562831830481
2020-07-01,326.249,342.312,335.334,258.352,2.3439583156877886,3.1262144697004057,2.7944503368912743,0.9968647625897997
2020-08-01,326.782,342.65,335.891,259.316,2.320819112627981,2.965614022435159,2.7054546344058794,1.2810698495523853
2020-09-01,327.043,342.986,336.126,259.997,2.0618781909648165,2.71502156205079,2.4921253960171086,1.3910228912373812
2020-10-01,327.421,343.502,336.841,260.319,2.0441809874650163,2.673378009194227,2.5138398142315,1.2303863428671624
2020-11-01,327.801,343.731,336.982,260.911,1.9246854118795786,2.4582394391386764,2.289339485186992,1.1757452138405844
2020-12-01,328.217,344.125,337.456,262.045,1.852616160895204,2.2909000112954603,2.180436329502977,1.3204191315779434
2021-01-01,328.535,344.489,337.954,262.687,1.5604954758614786,2.0433009173822736,2.000138835651799,1.3738437137002402
2021-02-01,329.124,345.099,338.78,263.579,1.4302752378398953,1.9527961026798657,2.024959645361024,1.6698167791706853
2021-03-01,329.947,345.658,339.559,264.961,1.6660504098108042,1.8132441046002645,2.0073480594934523,2.6678187820641908
2021-04-01,331.208,346.357,340.371,266.614,2.1014763048296636,1.8023366889558412,2.050477915162552,4.133077115360573
2021-05-01,332.111,347.242,341.339,268.383,2.1964901699525807,1.828408214494126,2.107731840032545,4.918257089467626
2021-06-01,333.835,348.07,342.479,270.654,2.58431282169469,1.916702779306867,2.349551875726563,5.295632620349999
2021-07-01,335.446,348.853,343.51,271.903,2.8190124720688825,1.9108298861856943,2.438166126906305,5.245169381309234
2021-08-01,336.022,349.983,344.4,272.676,2.8275731221425904,2.1400846344666657,2.5332622785367853,5.152015301793966
2021-09-01,337.357,351.306,345.833,273.91,3.1537137318334407,2.4257549870840167,2.88790513081405,5.351215590949132
2021-10-01,338.948,352.771,347.414,276.55,3.5205438869223338,2.6983831244068446,3.1388696744161226,6.235042390298062
2021-11-01,340.544,354.215,348.902,278.919,3.8874195014658275,3.050059494197499,3.537280923016639,6.901970403700863
