sector,indicator,cycle,index_value,sector_code,sector_name
11,Current performance,202605,54.5,11,Agriculture
11,Revenues,202605,42.2,11,Agriculture
11,Employees,202605,47.5,11,Agriculture
11,Hours,202605,41.7,11,Agriculture
11,Delivery time,202605,51.0,11,Agriculture
11,Demand,202605,47.3,11,Agriculture
11,Output prices,202605,52.1,11,Agriculture
11,Input prices,202605,70.4,11,Agriculture
11,Future performance,202605,52.6,11,Agriculture
11,Future employees,202605,51.4,11,Agriculture
11,Future hours,202605,52.5,11,Agriculture
11,Future delivery time,202605,54.0,11,Agriculture
11,Future demand,202605,51.8,11,Agriculture
11,Future output prices,202605,62.3,11,Agriculture
11,Future input prices,202605,81.0,11,Agriculture
21,Current performance,202605,50.6,21,Mining & Oil/Gas
21,Revenues,202605,43.2,21,Mining & Oil/Gas
21,Employees,202605,48.3,21,Mining & Oil/Gas
21,Hours,202605,49.0,21,Mining & Oil/Gas
21,Delivery time,202605,52.6,21,Mining & Oil/Gas
21,Demand,202605,49.1,21,Mining & Oil/Gas
21,Output prices,202605,47.8,21,Mining & Oil/Gas
21,Input prices,202605,65.5,21,Mining & Oil/Gas
21,Future performance,202605,55.9,21,Mining & Oil/Gas
21,Future employees,202605,57.3,21,Mining & Oil/Gas
21,Future hours,202605,57.1,21,Mining & Oil/Gas
21,Future delivery time,202605,52.6,21,Mining & Oil/Gas
21,Future demand,202605,57.6,21,Mining & Oil/Gas
21,Future output prices,202605,56.5,21,Mining & Oil/Gas
21,Future input prices,202605,72.3,21,Mining & Oil/Gas
22,Current performance,202605,66.2,22,Utilities
22,Revenues,202605,55.9,22,Utilities
22,Employees,202605,51.1,22,Utilities
22,Hours,202605,53.3,22,Utilities
22,Delivery time,202605,52.0,22,Utilities
22,Demand,202605,54.1,22,Utilities
22,Output prices,202605,52.7,22,Utilities
22,Input prices,202605,64.3,22,Utilities
22,Future performance,202605,64.8,22,Utilities
22,Future employees,202605,54.4,22,Utilities
22,Future hours,202605,54.2,22,Utilities
22,Future delivery time,202605,55.1,22,Utilities
22,Future demand,202605,59.8,22,Utilities
22,Future output prices,202605,69.1,22,Utilities
22,Future input prices,202605,79.8,22,Utilities
23,Current performance,202605,54.5,23,Construction
23,Revenues,202605,37.6,23,Construction
23,Employees,202605,45.2,23,Construction
23,Hours,202605,39.9,23,Construction
23,Delivery time,202605,52.6,23,Construction
23,Demand,202605,40.1,23,Construction
23,Output prices,202605,54.8,23,Construction
23,Input prices,202605,67.6,23,Construction
23,Future performance,202605,55.4,23,Construction
23,Future employees,202605,54.0,23,Construction
23,Future hours,202605,55.3,23,Construction
23,Future delivery time,202605,52.4,23,Construction
23,Future demand,202605,57.3,23,Construction
23,Future output prices,202605,67.0,23,Construction
23,Future input prices,202605,76.3,23,Construction
31,Current performance,202605,49.4,31,Manufacturing
31,Revenues,202605,42.0,31,Manufacturing
31,Employees,202605,48.5,31,Manufacturing
31,Hours,202605,45.8,31,Manufacturing
31,Delivery time,202605,55.3,31,Manufacturing
31,Demand,202605,43.6,31,Manufacturing
31,Output prices,202605,60.3,31,Manufacturing
31,Input prices,202605,73.5,31,Manufacturing
31,Future performance,202605,52.7,31,Manufacturing
31,Future employees,202605,54.5,31,Manufacturing
31,Future hours,202605,55.0,31,Manufacturing
31,Future delivery time,202605,54.3,31,Manufacturing
31,Future demand,202605,58.6,31,Manufacturing
31,Future output prices,202605,67.6,31,Manufacturing
31,Future input prices,202605,78.8,31,Manufacturing
42,Current performance,202605,48.9,42,Wholesale Trade
42,Revenues,202605,40.3,42,Wholesale Trade
42,Employees,202605,47.8,42,Wholesale Trade
42,Hours,202605,47.2,42,Wholesale Trade
42,Delivery time,202605,54.4,42,Wholesale Trade
42,Demand,202605,39.8,42,Wholesale Trade
42,Output prices,202605,60.5,42,Wholesale Trade
42,Input prices,202605,70.6,42,Wholesale Trade
42,Future performance,202605,50.7,42,Wholesale Trade
42,Future employees,202605,51.3,42,Wholesale Trade
42,Future hours,202605,51.4,42,Wholesale Trade
42,Future delivery time,202605,54.1,42,Wholesale Trade
42,Future demand,202605,53.0,42,Wholesale Trade
42,Future output prices,202605,64.8,42,Wholesale Trade
42,Future input prices,202605,74.0,42,Wholesale Trade
44,Current performance,202605,47.1,44,Retail Trade
44,Revenues,202605,38.5,44,Retail Trade
44,Employees,202605,47.9,44,Retail Trade
44,Hours,202605,46.0,44,Retail Trade
