state,indicator,cycle,index_value
AK,Current performance,202605,55.8
AK,Revenues,202605,42.9
AK,Employees,202605,49.6
AK,Hours,202605,43.4
AK,Delivery time,202605,51.8
AK,Demand,202605,40.4
AK,Output prices,202605,56.2
AK,Input prices,202605,67.8
AK,Future performance,202605,57.3
AK,Future employees,202605,60.4
AK,Future hours,202605,59.8
AK,Future delivery time,202605,53.8
AK,Future demand,202605,60.2
AK,Future output prices,202605,65.3
AK,Future input prices,202605,79.4
AL,Current performance,202605,56.4
AL,Revenues,202605,44.5
AL,Employees,202605,49.5
AL,Hours,202605,49.3
AL,Delivery time,202605,52.0
AL,Demand,202605,51.2
AL,Output prices,202605,56.0
AL,Input prices,202605,69.5
AL,Future performance,202605,56.3
AL,Future employees,202605,53.5
AL,Future hours,202605,53.6
AL,Future delivery time,202605,53.1
AL,Future demand,202605,58.5
AL,Future output prices,202605,66.1
AL,Future input prices,202605,76.6
AR,Current performance,202605,58.3
AR,Revenues,202605,46.9
AR,Employees,202605,49.9
AR,Hours,202605,52.4
AR,Delivery time,202605,52.2
AR,Demand,202605,46.4
AR,Output prices,202605,54.8
AR,Input prices,202605,64.8
AR,Future performance,202605,60.8
AR,Future employees,202605,51.2
AR,Future hours,202605,51.9
AR,Future delivery time,202605,54.2
AR,Future demand,202605,56.6
AR,Future output prices,202605,60.5
AR,Future input prices,202605,69.1
AZ,Current performance,202605,56.1
AZ,Revenues,202605,44.2
AZ,Employees,202605,47.9
AZ,Hours,202605,47.0
AZ,Delivery time,202605,52.6
AZ,Demand,202605,46.6
AZ,Output prices,202605,54.3
AZ,Input prices,202605,66.2
AZ,Future performance,202605,54.9
AZ,Future employees,202605,51.9
AZ,Future hours,202605,51.9
AZ,Future delivery time,202605,51.8
AZ,Future demand,202605,54.4
AZ,Future output prices,202605,60.5
AZ,Future input prices,202605,71.6
CA,Current performance,202605,51.1
CA,Revenues,202605,38.1
CA,Employees,202605,47.5
CA,Hours,202605,43.9
CA,Delivery time,202605,51.5
CA,Demand,202605,40.2
CA,Output prices,202605,54.9
CA,Input prices,202605,69.0
CA,Future performance,202605,52.0
CA,Future employees,202605,50.3
CA,Future hours,202605,50.3
CA,Future delivery time,202605,52.1
CA,Future demand,202605,51.4
CA,Future output prices,202605,61.2
CA,Future input prices,202605,72.7
CO,Current performance,202605,52.1
CO,Revenues,202605,41.3
CO,Employees,202605,46.9
CO,Hours,202605,45.1
CO,Delivery time,202605,52.9
CO,Demand,202605,43.6
CO,Output prices,202605,54.9
CO,Input prices,202605,70.5
CO,Future performance,202605,54.5
CO,Future employees,202605,52.0
CO,Future hours,202605,51.4
CO,Future delivery time,202605,51.9
CO,Future demand,202605,53.5
CO,Future output prices,202605,63.1
CO,Future input prices,202605,74.7
CT,Current performance,202605,54.2
CT,Revenues,202605,38.1
CT,Employees,202605,46.9
CT,Hours,202605,45.7
CT,Delivery time,202605,50.5
CT,Demand,202605,40.9
CT,Output prices,202605,56.2
CT,Input prices,202605,70.6
CT,Future performance,202605,55.2
CT,Future employees,202605,53.1
CT,Future hours,202605,51.2
CT,Future delivery time,202605,53.1
CT,Future demand,202605,59.1
CT,Future output prices,202605,64.4
CT,Future input prices,202605,76.2
DC,Current performance,202605,53.6
DC,Revenues,202605,39.1
DC,Employees,202605,44.8
DC,Hours,202605,44.9
DC,Delivery time,202605,43.2
DC,Demand,202605,41.3
DC,Output prices,202605,43.4
DC,Input prices,202605,53.4
DC,Future performance,202605,49.8
DC,Future employees,202605,47.9
DC,Future hours,202605,44.0
DC,Future delivery time,202605,41.8
DC,Future demand,202605,41.4
DC,Future output prices,202605,53.9
DC,Future input prices,202605,61.3
DE,Current performance,202605,58.0
DE,Revenues,202605,42.5
DE,Employees,202605,52.6
DE,Hours,202605,47.1
DE,Delivery time,202605,47.2
DE,Demand,202605,44.4
DE,Output prices,202605,60.8
DE,Input prices,202605,65.8
DE,Future performance,202605,59.9
DE,Future employees,202605,53.6
DE,Future hours,202605,57.7
DE,Future delivery time,202605,48.7
DE,Future demand,202605,61.2
DE,Future output prices,202605,63.8
DE,Future input prices,202605,76.0
FL,Current performance,202605,53.7
FL,Revenues,202605,42.3
FL,Employees,202605,47.6
FL,Hours,202605,46.5
FL,Delivery time,202605,52.4
FL,Demand,202605,44.5
FL,Output prices,202605,54.3
FL,Input prices,202605,66.4
FL,Future performance,202605,53.6
FL,Future employees,202605,51.4
FL,Future hours,202605,49.5
FL,Future delivery time,202605,52.5
FL,Future demand,202605,51.2
FL,Future output prices,202605,59.8
FL,Future input prices,202605,70.7
GA,Current performance,202605,56.3
GA,Revenues,202605,43.6
GA,Employees,202605,49.4
GA,Hours,202605,46.6
GA,Delivery time,202605,51.0
GA,Demand,202605,45.8
GA,Output prices,202605,53.5
GA,Input prices,202605,67.8
GA,Future performance,202605,56.1
GA,Future employees,202605,52.0
GA,Future hours,202605,52.9
GA,Future delivery time,202605,50.8
GA,Future demand,202605,56.7
GA,Future output prices,202605,60.2
GA,Future input prices,202605,71.3
HI,Current performance,202605,53.7
HI,Revenues,202605,42.0
HI,Employees,202605,44.9
HI,Hours,202605,46.6
HI,Delivery time,202605,56.8
HI,Demand,202605,42.7
HI,Output prices,202605,58.7
HI,Input prices,202605,72.8
HI,Future performance,202605,57.7
HI,Future employees,202605,53.2
HI,Future hours,202605,49.8
HI,Future delivery time,202605,58.7
HI,Future demand,202605,47.3
HI,Future output prices,202605,64.5
HI,Future input prices,202605,78.9
IA,Current performance,202605,53.8
IA,Revenues,202605,41.7
IA,Employees,202605,46.1
IA,Hours,202605,44.5
IA,Delivery time,202605,50.1
IA,Demand,202605,42.6
IA,Output prices,202605,53.9
IA,Input prices,202605,64.2
IA,Future performance,202605,53.4
IA,Future employees,202605,50.5
IA,Future hours,202605,51.0
IA,Future delivery time,202605,52.6
IA,Future demand,202605,51.4
IA,Future output prices,202605,62.4
IA,Future input prices,202605,75.8
ID,Current performance,202605,54.6
ID,Revenues,202605,42.3
ID,Employees,202605,47.0
ID,Hours,202605,43.0
ID,Delivery time,202605,53.3
ID,Demand,202605,42.5
ID,Output prices,202605,55.5
ID,Input prices,202605,69.2
ID,Future performance,202605,56.6
ID,Future employees,202605,53.1
ID,Future hours,202605,59.3
ID,Future delivery time,202605,54.3
ID,Future demand,202605,56.8
ID,Future output prices,202605,63.9
ID,Future input prices,202605,77.8
IL,Current performance,202605,53.6
IL,Revenues,202605,43.0
IL,Employees,202605,47.6
IL,Hours,202605,46.4
IL,Delivery time,202605,52.5
IL,Demand,202605,44.5
IL,Output prices,202605,56.6
IL,Input prices,202605,67.9
IL,Future performance,202605,55.0
IL,Future employees,202605,54.7
IL,Future hours,202605,56.1
IL,Future delivery time,202605,54.0
IL,Future demand,202605,55.9
IL,Future output prices,202605,64.0
IL,Future input prices,202605,73.7
IN,Current performance,202605,56.1
IN,Revenues,202605,42.3
IN,Employees,202605,46.6
IN,Hours,202605,45.9
IN,Delivery time,202605,52.9
IN,Demand,202605,45.6
IN,Output prices,202605,55.2
IN,Input prices,202605,66.6
IN,Future performance,202605,57.9
IN,Future employees,202605,53.8
IN,Future hours,202605,56.0
IN,Future delivery time,202605,54.6
IN,Future demand,202605,57.3
IN,Future output prices,202605,63.2
IN,Future input prices,202605,71.6
KS,Current performance,202605,53.6
KS,Revenues,202605,44.4
KS,Employees,202605,50.1
KS,Hours,202605,46.0
KS,Delivery time,202605,53.6
KS,Demand,202605,43.7
KS,Output prices,202605,55.0
KS,Input prices,202605,68.8
KS,Future performance,202605,56.7
KS,Future employees,202605,54.3
KS,Future hours,202605,51.8
KS,Future delivery time,202605,56.7
KS,Future demand,202605,56.1
KS,Future output prices,202605,61.6
KS,Future input prices,202605,73.1
KY,Current performance,202605,57.3
KY,Revenues,202605,43.4
KY,Employees,202605,49.5
KY,Hours,202605,46.5
KY,Delivery time,202605,50.4
KY,Demand,202605,47.5
KY,Output prices,202605,56.9
KY,Input prices,202605,68.7
KY,Future performance,202605,57.0
KY,Future employees,202605,54.3
KY,Future hours,202605,52.3
KY,Future delivery time,202605,53.4
KY,Future demand,202605,54.5
KY,Future output prices,202605,63.1
KY,Future input prices,202605,72.6
LA,Current performance,202605,56.5
LA,Revenues,202605,45.6
LA,Employees,202605,48.7
LA,Hours,202605,50.0
LA,Delivery time,202605,55.5
LA,Demand,202605,48.7
LA,Output prices,202605,54.2
LA,Input prices,202605,65.9
LA,Future performance,202605,56.3
LA,Future employees,202605,50.6
LA,Future hours,202605,49.7
LA,Future delivery time,202605,53.8
LA,Future demand,202605,58.0
LA,Future output prices,202605,59.2
LA,Future input prices,202605,70.6
MA,Current performance,202605,53.2
MA,Revenues,202605,36.6
MA,Employees,202605,47.6
MA,Hours,202605,42.9
MA,Delivery time,202605,51.6
MA,Demand,202605,38.9
MA,Output prices,202605,55.5
MA,Input prices,202605,70.0
MA,Future performance,202605,53.3
MA,Future employees,202605,53.2
MA,Future hours,202605,52.4
MA,Future delivery time,202605,53.0
MA,Future demand,202605,55.0
MA,Future output prices,202605,65.2
MA,Future input prices,202605,74.0
MD,Current performance,202605,55.6
MD,Revenues,202605,43.0
MD,Employees,202605,47.1
MD,Hours,202605,46.9
MD,Delivery time,202605,51.0
MD,Demand,202605,45.3
MD,Output prices,202605,54.8
MD,Input prices,202605,66.2
MD,Future performance,202605,57.0
MD,Future employees,202605,53.8
MD,Future hours,202605,53.6
MD,Future delivery time,202605,53.4
MD,Future demand,202605,56.3
MD,Future output prices,202605,64.3
MD,Future input prices,202605,74.5
ME,Current performance,202605,58.1
ME,Revenues,202605,41.8
ME,Employees,202605,48.5
ME,Hours,202605,46.5
ME,Delivery time,202605,50.7
ME,Demand,202605,46.1
ME,Output prices,202605,58.3
ME,Input prices,202605,63.6
ME,Future performance,202605,57.1
ME,Future employees,202605,51.6
ME,Future hours,202605,49.9
ME,Future delivery time,202605,54.3
ME,Future demand,202605,54.7
ME,Future output prices,202605,65.7
ME,Future input prices,202605,73.7
MI,Current performance,202605,55.9
MI,Revenues,202605,40.2
MI,Employees,202605,46.7
MI,Hours,202605,44.0
MI,Delivery time,202605,50.9
MI,Demand,202605,43.8
MI,Output prices,202605,57.5
MI,Input prices,202605,68.6
MI,Future performance,202605,57.2
MI,Future employees,202605,54.4
MI,Future hours,202605,55.8
MI,Future delivery time,202605,52.0
MI,Future demand,202605,59.9
MI,Future output prices,202605,64.1
MI,Future input prices,202605,75.0
MN,Current performance,202605,53.2
MN,Revenues,202605,40.9
MN,Employees,202605,47.8
MN,Hours,202605,46.6
MN,Delivery time,202605,53.1
MN,Demand,202605,46.1
MN,Output prices,202605,56.5
MN,Input prices,202605,69.7
MN,Future performance,202605,55.6
MN,Future employees,202605,53.8
MN,Future hours,202605,55.2
MN,Future delivery time,202605,52.7
MN,Future demand,202605,56.8
MN,Future output prices,202605,64.3
MN,Future input prices,202605,77.0
MO,Current performance,202605,57.6
MO,Revenues,202605,43.5
MO,Employees,202605,45.9
MO,Hours,202605,46.1
MO,Delivery time,202605,53.8
MO,Demand,202605,46.1
MO,Output prices,202605,56.5
MO,Input prices,202605,68.6
MO,Future performance,202605,58.3
MO,Future employees,202605,55.5
MO,Future hours,202605,56.3
MO,Future delivery time,202605,53.5
MO,Future demand,202605,55.7
MO,Future output prices,202605,65.7
MO,Future input prices,202605,75.6
MS,Current performance,202605,62.0
MS,Revenues,202605,40.8
MS,Employees,202605,50.7
MS,Hours,202605,46.9
MS,Delivery time,202605,55.7
MS,Demand,202605,46.0
MS,Output prices,202605,55.4
MS,Input prices,202605,69.5
MS,Future performance,202605,60.2
MS,Future employees,202605,53.8
MS,Future hours,202605,56.2
MS,Future delivery time,202605,54.1
MS,Future demand,202605,57.4
MS,Future output prices,202605,64.8
MS,Future input prices,202605,67.6
MT,Current performance,202605,54.1
MT,Revenues,202605,41.4
MT,Employees,202605,50.7
MT,Hours,202605,43.8
MT,Delivery time,202605,52.3
MT,Demand,202605,44.8
MT,Output prices,202605,54.5
MT,Input prices,202605,66.3
MT,Future performance,202605,56.8
MT,Future employees,202605,58.0
MT,Future hours,202605,57.3
MT,Future delivery time,202605,52.7
MT,Future demand,202605,59.8
MT,Future output prices,202605,63.6
MT,Future input prices,202605,77.2
NC,Current performance,202605,56.0
NC,Revenues,202605,42.9
NC,Employees,202605,48.2
NC,Hours,202605,46.4
NC,Delivery time,202605,54.4
NC,Demand,202605,44.7
NC,Output prices,202605,53.5
NC,Input prices,202605,69.5
NC,Future performance,202605,58.1
NC,Future employees,202605,55.3
NC,Future hours,202605,55.2
NC,Future delivery time,202605,54.6
NC,Future demand,202605,58.5
NC,Future output prices,202605,62.1
NC,Future input prices,202605,74.8
ND,Current performance,202605,54.4
ND,Revenues,202605,45.0
ND,Employees,202605,46.1
ND,Hours,202605,38.2
ND,Delivery time,202605,53.0
ND,Demand,202605,44.7
ND,Output prices,202605,55.7
ND,Input prices,202605,64.0
ND,Future performance,202605,54.5
ND,Future employees,202605,50.4
ND,Future hours,202605,57.2
ND,Future delivery time,202605,52.3
ND,Future demand,202605,55.5
ND,Future output prices,202605,67.4
ND,Future input prices,202605,78.1
NE,Current performance,202605,58.3
NE,Revenues,202605,42.3
NE,Employees,202605,47.7
NE,Hours,202605,47.2
NE,Delivery time,202605,54.8
NE,Demand,202605,47.1
NE,Output prices,202605,57.0
NE,Input prices,202605,66.3
NE,Future performance,202605,58.4
NE,Future employees,202605,51.5
NE,Future hours,202605,54.3
NE,Future delivery time,202605,57.9
NE,Future demand,202605,57.3
NE,Future output prices,202605,64.1
NE,Future input prices,202605,76.8
NH,Current performance,202605,54.5
NH,Revenues,202605,44.1
NH,Employees,202605,46.6
NH,Hours,202605,47.7
NH,Delivery time,202605,51.9
NH,Demand,202605,48.9
NH,Output prices,202605,52.4
NH,Input prices,202605,66.6
NH,Future performance,202605,53.8
NH,Future employees,202605,54.8
NH,Future hours,202605,55.1
NH,Future delivery time,202605,54.1
NH,Future demand,202605,54.4
NH,Future output prices,202605,62.4
NH,Future input prices,202605,72.5
NJ,Current performance,202605,49.9
NJ,Revenues,202605,36.6
NJ,Employees,202605,47.5
NJ,Hours,202605,42.7
NJ,Delivery time,202605,52.3
NJ,Demand,202605,38.9
NJ,Output prices,202605,57.0
NJ,Input prices,202605,68.7
NJ,Future performance,202605,51.4
NJ,Future employees,202605,53.5
NJ,Future hours,202605,52.9
NJ,Future delivery time,202605,54.6
NJ,Future demand,202605,54.3
NJ,Future output prices,202605,64.7
NJ,Future input prices,202605,73.6
NM,Current performance,202605,59.9
NM,Revenues,202605,42.1
