date,continuing_claims,continuing_claims_4wma
2021-03-20,3887000,
2021-03-27,3859000,
2021-04-03,3830000,
2021-04-10,3779000,3838750.0
2021-04-17,3776000,3811000.0
2021-04-24,3767000,3788000.0
2021-05-01,3756000,3769500.0
2021-05-08,3737000,3759000.0
2021-05-15,3618000,3719500.0
2021-05-22,3575000,3671500.0
2021-05-29,3422000,3588000.0
2021-06-05,3350000,3491250.0
2021-06-12,3268000,3403750.0
2021-06-19,3263000,3325750.0
2021-06-26,3313000,3298500.0
2021-07-03,3179000,3255750.0
2021-07-10,3061000,3204000.0
2021-07-17,3138000,3172750.0
2021-07-24,2863000,3060250.0
2021-07-31,2793000,2963750.0
2021-08-07,2809000,2900750.0
2021-08-14,2802000,2816750.0
2021-08-21,2733000,2784250.0
2021-08-28,2786000,2782500.0
2021-09-04,2608000,2732250.0
2021-09-11,2756000,2720750.0
2021-09-18,2803000,2738250.0
2021-09-25,2722000,2722250.0
2021-10-02,2624000,2726250.0
2021-10-09,2533000,2670500.0
2021-10-16,2265000,2536000.0
2021-10-23,2168000,2397500.0
2021-10-30,2199000,2291250.0
2021-11-06,2036000,2167000.0
2021-11-13,1968000,2092750.0
2021-11-20,1803000,2001500.0
2021-11-27,1874000,1920250.0
2021-12-04,1767000,1853000.0
2021-12-11,1767000,1802750.0
2021-12-18,1628000,1759000.0
2021-12-25,1703000,1716250.0
2022-01-01,1690000,1697000.0
2022-01-08,1721000,1685500.0
2022-01-15,1700000,1703500.0
2022-01-22,1709000,1705000.0
2022-01-29,1695000,1706250.0
2022-02-05,1671000,1693750.0
2022-02-12,1637000,1678000.0
2022-02-19,1615000,1654500.0
2022-02-26,1613000,1634000.0
2022-03-05,1583000,1612000.0
2022-03-12,1541000,1588000.0
2022-03-19,1518000,1563750.0
2022-03-26,1532000,1543500.0
2022-04-02,1492000,1520750.0
2022-04-09,1432000,1493500.0
2022-04-16,1429000,1471250.0
2022-04-23,1424000,1444250.0
2022-04-30,1385000,1417500.0
2022-05-07,1365000,1400750.0
2022-05-14,1378000,1388000.0
2022-05-21,1362000,1372500.0
2022-05-28,1363000,1367000.0
2022-06-04,1344000,1361750.0
2022-06-11,1356000,1356250.0
2022-06-18,1358000,1355250.0
2022-06-25,1403000,1365250.0
2022-07-02,1360000,1369250.0
2022-07-09,1367000,1372000.0
2022-07-16,1391000,1380250.0
2022-07-23,1418000,1384000.0
2022-07-30,1427000,1400750.0
2022-08-06,1422000,1414500.0
2022-08-13,1410000,1419250.0
2022-08-20,1419000,1419500.0
2022-08-27,1418000,1417250.0
2022-09-03,1397000,1411000.0
2022-09-10,1402000,1409000.0
2022-09-17,1382000,1399750.0
2022-09-24,1397000,1394500.0
2022-10-01,1392000,1393250.0
2022-10-08,1404000,1393750.0
2022-10-15,1402000,1398750.0
2022-10-22,1429000,1406750.0
2022-10-29,1430000,1416250.0
2022-11-05,1406000,1416750.0
2022-11-12,1450000,1428750.0
2022-11-19,1464000,1437500.0
2022-11-26,1512000,1458000.0
2022-12-03,1539000,1491250.0
2022-12-10,1551000,1516500.0
