date,initial_claims,initial_claims_4wma
2021-03-27,658000,
2021-04-03,645000,
2021-04-10,571000,
2021-04-17,566000,610000.0
2021-04-24,574000,589000.0
2021-05-01,517000,557000.0
2021-05-08,494000,537750.0
2021-05-15,467000,513000.0
2021-05-22,441000,479750.0
2021-05-29,427000,457250.0
2021-06-05,420000,438750.0
2021-06-12,428000,429000.0
2021-06-19,422000,424250.0
2021-06-26,368000,409500.0
2021-07-03,371000,397250.0
2021-07-10,333000,373500.0
2021-07-17,387000,364750.0
2021-07-24,380000,367750.0
2021-07-31,379000,369750.0
2021-08-07,361000,376750.0
2021-08-14,367000,371750.0
2021-08-21,358000,366250.0
2021-08-28,353000,359750.0
2021-09-04,335000,353250.0
2021-09-11,342000,347000.0
2021-09-18,367000,349250.0
2021-09-25,375000,354750.0
2021-10-02,312000,349000.0
2021-10-09,291000,336250.0
2021-10-16,289000,316750.0
2021-10-23,269000,290250.0
2021-10-30,261000,277500.0
2021-11-06,251000,267500.0
2021-11-13,250000,257750.0
2021-11-20,224000,246500.0
2021-11-27,221000,236500.0
2021-12-04,206000,225250.0
2021-12-11,227000,219500.0
2021-12-18,215000,217250.0
2021-12-25,217000,216250.0
2022-01-01,229000,222000.0
2022-01-08,250000,227750.0
2022-01-15,246000,235500.0
2022-01-22,240000,241250.0
2022-01-29,231000,241750.0
2022-02-05,210000,231750.0
2022-02-12,234000,228750.0
2022-02-19,224000,224750.0
2022-02-26,208000,219000.0
2022-03-05,222000,222000.0
2022-03-12,217000,217750.0
2022-03-19,207000,213500.0
2022-03-26,214000,215000.0
2022-04-02,214000,213000.0
2022-04-09,214000,212250.0
2022-04-16,210000,213000.0
2022-04-23,209000,211750.0
2022-04-30,218000,212750.0
2022-05-07,204000,210250.0
2022-05-14,225000,214000.0
2022-05-21,211000,214500.0
2022-05-28,199000,209750.0
2022-06-04,213000,212000.0
2022-06-11,211000,208500.0
2022-06-18,214000,209250.0
2022-06-25,212000,212500.0
2022-07-02,214000,212750.0
2022-07-09,212000,213000.0
2022-07-16,216000,213500.0
2022-07-23,221000,215750.0
2022-07-30,228000,219250.0
2022-08-06,221000,221500.0
2022-08-13,220000,222500.0
2022-08-20,215000,221000.0
2022-08-27,210000,216500.0
2022-09-03,203000,212000.0
2022-09-10,195000,205750.0
2022-09-17,202000,202500.0
2022-09-24,190000,197500.0
2022-10-01,203000,197500.0
2022-10-08,207000,200500.0
2022-10-15,199000,199750.0
2022-10-22,202000,202750.0
2022-10-29,202000,202500.0
2022-11-05,204000,201750.0
2022-11-12,210000,204500.0
2022-11-19,220000,209000.0
2022-11-26,209000,210750.0
2022-12-03,209000,212000.0
2022-12-10,209000,211750.0
2022-12-17,213000,210000.0
2022-12-24,205000,209000.0
2022-12-31,205000,208000.0
2023-01-07,210000,208250.0
2023-01-14,204000,206000.0
2023-01-21,204000,205750.0
2023-01-28,200000,204500.0
2023-02-04,215000,205750.0
