date,pce_yoy,core_pce_yoy,unrate,payems,payroll_change,payroll_3m_avg,consumer_sentiment
2023-01-01,5.507734586232882,4.937665213974429,3.5,154776.0,434.0,279.0,64.9
2023-02-01,5.197803844154003,4.855603371625716,3.6,155066.0,290.0,274.6666666666667,66.9
2023-03-01,4.428273156924578,4.783286394955444,3.5,155134.0,68.0,264.0,62.0
2023-04-01,4.476012960317743,4.789642299240104,3.4,155375.0,241.0,199.66666666666666,63.7
2023-05-01,4.003462454014284,4.731625374880166,3.6,155655.0,280.0,196.33333333333334,59.0
2023-06-01,3.284521339529123,4.383786808421353,3.6,155880.0,225.0,248.66666666666666,64.2
2023-07-01,3.40904219289897,4.299124123250864,3.5,156043.0,163.0,222.66666666666666,71.5
2023-08-01,3.43205991996991,3.8282036156702226,3.7,156261.0,218.0,202.0,69.4
2023-09-01,3.4488928270185903,3.687774208035388,3.7,156417.0,156.0,179.0,67.8
2023-10-01,3.0232617305099296,3.4740628549791763,3.9,156576.0,159.0,177.66666666666666,63.8
2023-11-01,2.7650899986466193,3.2907438711504255,3.7,156703.0,127.0,147.33333333333334,61.3
2023-12-01,2.7672658467360334,3.1123879882344996,3.8,156857.0,154.0,146.66666666666666,69.7
2024-01-01,2.6987514493606035,3.159014510020852,3.7,157032.0,175.0,152.0,79.0
2024-02-01,2.705057426970159,3.059467984974007,3.9,157238.0,206.0,178.33333333333334,76.9
2024-03-01,2.9279392327126175,3.122173857921662,3.9,157466.0,228.0,203.0,79.4
2024-04-01,2.826154012888593,3.006720905553606,3.9,157530.0,64.0,166.0,77.2
2024-05-01,2.6616729088639213,2.7711764063720334,3.9,157608.0,78.0,123.33333333333333,69.1
2024-06-01,2.548373440470164,2.7531619063573265,4.1,157695.0,87.0,76.33333333333333,68.2
2024-07-01,2.594376777467322,2.8062163337682744,4.2,157748.0,53.0,72.66666666666667,66.4
2024-08-01,2.412994957427461,2.873279917118543,4.2,157757.0,9.0,49.666666666666664,67.9
2024-09-01,2.260766436883843,2.838627996468368,4.1,157912.0,155.0,72.33333333333333,70.1
2024-10-01,2.4776925356425616,2.9865021082658982,4.1,157945.0,33.0,65.66666666666667,70.5
2024-11-01,2.5878034125423,2.980710120125618,4.2,158079.0,134.0,107.33333333333333,71.8
2024-12-01,2.7280946901200087,2.9885896245190446,4.1,158316.0,237.0,134.66666666666666,74.0
2025-01-01,2.6073795303935166,2.7801380994415092,4.0,158268.0,-48.0,107.66666666666667,71.7
2025-02-01,2.7104846734857135,2.9686432938117457,4.2,158310.0,42.0,77.0,64.7
2025-03-01,2.3594336708984365,2.670294814316976,4.2,158377.0,67.0,20.333333333333332,57.0
2025-04-01,2.2774259978433964,2.614795918367352,4.2,158485.0,108.0,72.33333333333333,52.2
2025-05-01,2.4580860654408676,2.783883382495933,4.3,158498.0,13.0,62.666666666666664,52.2
2025-06-01,2.5935129797068024,2.8073722050588,4.1,158478.0,-20.0,33.666666666666664,60.7
2025-07-01,2.605547294239341,2.86304724556794,4.3,158542.0,64.0,19.0,61.7
2025-08-01,2.7476208541517,2.912416347215907,4.3,158472.0,-70.0,-8.666666666666666,58.2
2025-09-01,2.7874424148706556,2.825069249833967,4.4,158548.0,76.0,23.333333333333332,55.1
2025-10-01,2.7125805259691216,2.75453840687383,,158408.0,-140.0,-44.666666666666664,53.6
2025-11-01,2.8201898312699925,2.8290927864990767,4.5,158449.0,41.0,-7.666666666666667,51.0
2025-12-01,2.878083518031027,2.971110180682146,4.4,158432.0,-17.0,-38.666666666666664,52.9
2026-01-01,2.8584641635504004,3.0861967942080515,4.3,158592.0,160.0,61.333333333333336,56.4
2026-02-01,2.8581412155240127,3.032482320508212,4.4,158436.0,-156.0,-4.333333333333333,56.6
2026-03-01,3.525460334601127,3.236287290347817,4.3,158621.0,185.0,63.0,53.3
2026-04-01,3.7669441141498172,3.289190610508208,4.3,158736.0,115.0,48.0,49.8
