date,icsa_monthly_avg
2020-01-31,215500.0
2020-02-29,210200.0
2020-03-31,2335250.0
2020-04-30,4663250.0
2020-05-31,2173400.0
2020-06-30,1490250.0
2020-07-31,1383500.0
2020-08-31,922400.0
2020-09-30,851750.0
2020-10-31,795400.0
2020-11-30,751250.0
2020-12-31,836750.0
2021-01-31,827800.0
2021-02-28,755000.0
2021-03-31,669250.0
2021-04-30,589000.0
2021-05-31,469200.0
2021-06-30,409500.0
2021-07-31,370000.0
2021-08-31,359750.0
2021-09-30,354750.0
2021-10-31,284400.0
2021-11-30,236500.0
2021-12-31,216250.0
2022-01-31,239200.0
2022-02-28,219000.0
2022-03-31,215000.0
2022-04-30,213000.0
2022-05-31,209750.0
2022-06-30,212500.0
2022-07-31,218200.0
2022-08-31,216500.0
2022-09-30,197500.0
2022-10-31,202600.0
2022-11-30,210750.0
2022-12-31,208200.0
2023-01-31,204500.0
2023-02-28,214750.0
2023-03-31,229000.0
2023-04-30,216400.0
2023-05-31,226000.0
2023-06-30,250750.0
2023-07-31,235200.0
2023-08-31,245000.0
2023-09-30,218600.0
2023-10-31,210250.0
2023-11-30,218000.0
2023-12-31,207800.0
2024-01-31,211500.0
2024-02-29,210000.0
2024-03-31,215200.0
2024-04-30,210250.0
2024-05-31,222000.0
2024-06-30,234800.0
2024-07-31,237250.0
2024-08-31,230600.0
2024-09-30,224500.0
2024-10-31,236250.0
2024-11-30,219200.0
2024-12-31,222750.0
2025-01-31,215000.0
2025-02-28,225000.0
2025-03-31,223000.0
2025-04-30,225750.0
2025-05-31,231800.0
2025-06-30,239000.0
2025-07-31,221500.0
2025-08-31,229600.0
2025-09-30,234000.0
2025-10-31,226750.0
2025-11-30,222400.0
2025-12-31,219250.0
2026-01-31,211800.0
2026-02-28,215750.0
2026-03-31,208000.0
2026-04-30,207750.0
2026-05-31,211600.0
2026-06-30,228000.0
