date,payroll_change_k,unrate,civpart
2018-01-01,,4.0,62.7
2018-02-01,394.0,4.1,63.0
2018-03-01,226.0,4.0,62.9
2018-04-01,140.0,4.0,62.9
2018-05-01,322.0,3.8,62.9
2018-06-01,218.0,4.0,63.0
2018-07-01,60.0,3.8,63.0
2018-08-01,257.0,3.8,62.6
2018-09-01,81.0,3.7,62.8
2018-10-01,169.0,3.8,62.9
2018-11-01,90.0,3.8,62.9
2018-12-01,192.0,3.9,63.0
2019-01-01,251.0,4.0,63.1
2019-02-01,7.0,3.8,63.1
2019-03-01,228.0,3.8,63.0
2019-04-01,296.0,3.7,62.8
2019-05-01,27.0,3.6,62.9
2019-06-01,220.0,3.6,63.0
2019-07-01,99.0,3.7,63.1
2019-08-01,232.0,3.6,63.1
2019-09-01,196.0,3.5,63.2
2019-10-01,95.0,3.6,63.3
2019-11-01,207.0,3.6,63.3
2019-12-01,127.0,3.6,63.3
2020-01-01,237.0,3.6,63.3
2020-02-01,262.0,3.5,63.3
2020-03-01,-1398.0,4.4,62.6
2020-04-01,-20469.0,14.8,60.1
2020-05-01,2614.0,13.2,60.8
2020-06-01,4631.0,11.0,61.5
2020-07-01,1584.0,10.2,61.5
2020-08-01,1566.0,8.4,61.7
2020-09-01,949.0,7.8,61.4
2020-10-01,690.0,6.9,61.7
2020-11-01,273.0,6.7,61.5
2020-12-01,-185.0,6.7,61.5
2021-01-01,315.0,6.4,61.4
2021-02-01,517.0,6.2,61.4
2021-03-01,852.0,6.1,61.5
2021-04-01,355.0,6.1,61.6
2021-05-01,478.0,5.8,61.6
2021-06-01,755.0,5.9,61.7
2021-07-01,942.0,5.4,61.8
2021-08-01,552.0,5.1,61.7
2021-09-01,457.0,4.7,61.7
2021-10-01,801.0,4.5,61.8
2021-11-01,658.0,4.1,61.9
2021-12-01,586.0,3.9,62.0
2022-01-01,190.0,4.0,62.2
2022-02-01,819.0,3.9,62.3
2022-03-01,490.0,3.7,62.4
2022-04-01,308.0,3.7,62.2
2022-05-01,301.0,3.6,62.3
2022-06-01,434.0,3.6,62.2
2022-07-01,714.0,3.5,62.1
2022-08-01,290.0,3.6,62.3
2022-09-01,220.0,3.5,62.2
2022-10-01,357.0,3.6,62.2
2022-11-01,303.0,3.6,62.1
2022-12-01,100.0,3.5,62.3
2023-01-01,434.0,3.5,62.4
2023-02-01,290.0,3.6,62.5
2023-03-01,68.0,3.5,62.6
2023-04-01,241.0,3.4,62.6
2023-05-01,280.0,3.6,62.6
2023-06-01,225.0,3.6,62.6
2023-07-01,163.0,3.5,62.6
2023-08-01,218.0,3.7,62.8
2023-09-01,156.0,3.7,62.7
2023-10-01,159.0,3.9,62.6
2023-11-01,127.0,3.7,62.8
2023-12-01,154.0,3.8,62.5
2024-01-01,175.0,3.7,62.5
2024-02-01,206.0,3.9,62.6
2024-03-01,228.0,3.9,62.7
2024-04-01,64.0,3.9,62.6
2024-05-01,78.0,3.9,62.6
2024-06-01,87.0,4.1,62.6
2024-07-01,53.0,4.2,62.7
2024-08-01,9.0,4.2,62.7
2024-09-01,155.0,4.1,62.7
2024-10-01,33.0,4.1,62.5
2024-11-01,134.0,4.2,62.4
2024-12-01,237.0,4.1,62.5
2025-01-01,-48.0,4.0,62.6
2025-02-01,42.0,4.2,62.5
2025-03-01,67.0,4.2,62.5
2025-04-01,108.0,4.2,62.6
2025-05-01,13.0,4.3,62.4
2025-06-01,-20.0,4.1,62.3
2025-07-01,64.0,4.3,62.2
2025-08-01,-70.0,4.3,62.3
2025-09-01,76.0,4.4,62.5
2025-10-01,-140.0,,
2025-11-01,41.0,4.5,62.5
2025-12-01,-17.0,4.4,62.4
2026-01-01,160.0,4.3,62.1
2026-02-01,-156.0,4.4,62.0
2026-03-01,214.0,4.3,61.9
2026-04-01,179.0,4.3,61.8
2026-05-01,172.0,4.3,61.8
