date,category,employment_k,monthly_change_k
2010-01-01,Construction,5241.0,
2010-02-01,Construction,5228.0,-13.0
2010-03-01,Construction,5216.0,-12.0
2010-04-01,Construction,5195.0,-21.0
2010-05-01,Construction,5184.0,-11.0
2010-06-01,Construction,5181.0,-3.0
2010-07-01,Construction,5179.0,-2.0
2010-08-01,Construction,5171.0,-8.0
2010-09-01,Construction,5156.0,-15.0
2010-10-01,Construction,5148.0,-8.0
2010-11-01,Construction,5144.0,-4.0
2010-12-01,Construction,5139.0,-5.0
2011-01-01,Construction,5135.0,-4.0
2011-02-01,Construction,5135.0,0.0
2011-03-01,Construction,5139.0,4.0
2011-04-01,Construction,5148.0,9.0
2011-05-01,Construction,5161.0,13.0
2011-06-01,Construction,5181.0,20.0
2011-07-01,Construction,5194.0,13.0
2011-08-01,Construction,5201.0,7.0
2011-09-01,Construction,5213.0,12.0
2011-10-01,Construction,5223.0,10.0
2011-11-01,Construction,5232.0,9.0
2011-12-01,Construction,5254.0,22.0
2012-01-01,Construction,5269.0,15.0
2012-02-01,Construction,5280.0,11.0
2012-03-01,Construction,5289.0,9.0
2012-04-01,Construction,5298.0,9.0
2012-05-01,Construction,5300.0,2.0
2012-06-01,Construction,5291.0,-9.0
2012-07-01,Construction,5287.0,-4.0
2012-08-01,Construction,5304.0,17.0
2012-09-01,Construction,5321.0,17.0
2012-10-01,Construction,5338.0,17.0
2012-11-01,Construction,5367.0,29.0
2012-12-01,Construction,5392.0,25.0
2013-01-01,Construction,5414.0,22.0
2013-02-01,Construction,5439.0,25.0
2013-03-01,Construction,5463.0,24.0
2013-04-01,Construction,5486.0,23.0
2013-05-01,Construction,5517.0,31.0
2013-06-01,Construction,5543.0,26.0
2013-07-01,Construction,5567.0,24.0
2013-08-01,Construction,5586.0,19.0
2013-09-01,Construction,5600.0,14.0
2013-10-01,Construction,5616.0,16.0
2013-11-01,Construction,5644.0,28.0
2013-12-01,Construction,5666.0,22.0
2014-01-01,Construction,5687.0,21.0
2014-02-01,Construction,5705.0,18.0
2014-03-01,Construction,5722.0,17.0
2014-04-01,Construction,5740.0,18.0
2014-05-01,Construction,5770.0,30.0
2014-06-01,Construction,5803.0,33.0
2014-07-01,Construction,5835.0,32.0
2014-08-01,Construction,5860.0,25.0
2014-09-01,Construction,5878.0,18.0
2014-10-01,Construction,5908.0,30.0
2014-11-01,Construction,5936.0,28.0
2014-12-01,Construction,5953.0,17.0
2015-01-01,Construction,5972.0,19.0
2015-02-01,Construction,5991.0,19.0
2015-03-01,Construction,6016.0,25.0
2015-04-01,Construction,6045.0,29.0
2015-05-01,Construction,6076.0,31.0
2015-06-01,Construction,6113.0,37.0
2015-07-01,Construction,6157.0,44.0
2015-08-01,Construction,6183.0,26.0
2015-09-01,Construction,6206.0,23.0
2015-10-01,Construction,6239.0,33.0
2015-11-01,Construction,6262.0,23.0
2015-12-01,Construction,6280.0,18.0
2016-01-01,Construction,6304.0,24.0
2016-02-01,Construction,6328.0,24.0
2016-03-01,Construction,6351.0,23.0
2016-04-01,Construction,6380.0,29.0
2016-05-01,Construction,6403.0,23.0
2016-06-01,Construction,6423.0,20.0
2016-07-01,Construction,6438.0,15.0
2016-08-01,Construction,6458.0,20.0
2016-09-01,Construction,6486.0,28.0
2016-10-01,Construction,6496.0,10.0
2016-11-01,Construction,6502.0,6.0
2016-12-01,Construction,6517.0,15.0
2017-01-01,Construction,6541.0,24.0
2017-02-01,Construction,6574.0,33.0
2017-03-01,Construction,6599.0,25.0
2017-04-01,Construction,6622.0,23.0
2017-05-01,Construction,6640.0,18.0
2017-06-01,Construction,6668.0,28.0
2017-07-01,Construction,6694.0,26.0
2017-08-01,Construction,6720.0,26.0
2017-09-01,Construction,6740.0,20.0
2017-10-01,Construction,6755.0,15.0
2017-11-01,Construction,6780.0,25.0
2017-12-01,Construction,6805.0,25.0
2018-01-01,Construction,6828.0,23.0
2018-02-01,Construction,6859.0,31.0
2018-03-01,Construction,6886.0,27.0
2018-04-01,Construction,6918.0,32.0
2018-05-01,Construction,6946.0,28.0
2018-06-01,Construction,6983.0,37.0
2018-07-01,Construction,7013.0,30.0
2018-08-01,Construction,7043.0,30.0
2018-09-01,Construction,7060.0,17.0
2018-10-01,Construction,7077.0,17.0
2018-11-01,Construction,7098.0,21.0
2018-12-01,Construction,7115.0,17.0
2019-01-01,Construction,7129.0,14.0
2019-02-01,Construction,7140.0,11.0
2019-03-01,Construction,7147.0,7.0
2019-04-01,Construction,7157.0,10.0
2019-05-01,Construction,7176.0,19.0
2019-06-01,Construction,7190.0,14.0
2019-07-01,Construction,7197.0,7.0
2019-08-01,Construction,7206.0,9.0
2019-09-01,Construction,7214.0,8.0
2019-10-01,Construction,7224.0,10.0
2019-11-01,Construction,7237.0,13.0
2019-12-01,Construction,7251.0,14.0
2020-01-01,Construction,7258.0,7.0
2020-02-01,Construction,7265.0,7.0
2020-03-01,Construction,7272.0,7.0
2020-04-01,Construction,7168.0,-104.0
2020-05-01,Construction,7035.0,-133.0
2020-06-01,Construction,6934.0,-101.0
2020-07-01,Construction,6928.0,-6.0
2020-08-01,Construction,6928.0,0.0
2020-09-01,Construction,6926.0,-2.0
2020-10-01,Construction,6939.0,13.0
2020-11-01,Construction,6982.0,43.0
2020-12-01,Construction,7033.0,51.0
2021-01-01,Construction,7076.0,43.0
2021-02-01,Construction,7097.0,21.0
2021-03-01,Construction,7120.0,23.0
2021-04-01,Construction,7151.0,31.0
2021-05-01,Construction,7174.0,23.0
2021-06-01,Construction,7196.0,22.0
2021-07-01,Construction,7224.0,28.0
2021-08-01,Construction,7237.0,13.0
2021-09-01,Construction,7248.0,11.0
2021-10-01,Construction,7262.0,14.0
2021-11-01,Construction,7284.0,22.0
2021-12-01,Construction,7313.0,29.0
2022-01-01,Construction,7325.0,12.0
2022-02-01,Construction,7347.0,22.0
2022-03-01,Construction,7384.0,37.0
2022-04-01,Construction,7436.0,52.0
2022-05-01,Construction,7472.0,36.0
2022-06-01,Construction,7515.0,43.0
2022-07-01,Construction,7547.0,32.0
2022-08-01,Construction,7574.0,27.0
2022-09-01,Construction,7599.0,25.0
2022-10-01,Construction,7618.0,19.0
2022-11-01,Construction,7631.0,13.0
2022-12-01,Construction,7645.0,14.0
2023-01-01,Construction,7659.0,14.0
2023-02-01,Construction,7670.0,11.0
2023-03-01,Construction,7677.0,7.0
2023-04-01,Construction,7691.0,14.0
2023-05-01,Construction,7706.0,15.0
2023-06-01,Construction,7727.0,21.0
2023-07-01,Construction,7743.0,16.0
2023-08-01,Construction,7761.0,18.0
2023-09-01,Construction,7773.0,12.0
2023-10-01,Construction,7780.0,7.0
2023-11-01,Construction,7793.0,13.0
2023-12-01,Construction,7811.0,18.0
2024-01-01,Construction,7834.0,23.0
2024-02-01,Construction,7853.0,19.0
2024-03-01,Construction,7859.0,6.0
2024-04-01,Construction,7864.0,5.0
2024-05-01,Construction,7879.0,15.0
2024-06-01,Construction,7896.0,17.0
2024-07-01,Construction,7915.0,19.0
2024-08-01,Construction,7925.0,10.0
2024-09-01,Construction,7928.0,3.0
2024-10-01,Construction,7935.0,7.0
2024-11-01,Construction,7947.0,12.0
2024-12-01,Construction,7963.0,16.0
2025-01-01,Construction,7972.0,9.0
2025-02-01,Construction,7990.0,18.0
2025-03-01,Construction,8000.0,10.0
2025-04-01,Construction,8015.0,15.0
2025-05-01,Construction,8022.0,7.0
2025-06-01,Construction,8028.0,6.0
2025-07-01,Construction,8029.0,1.0
2025-08-01,Construction,8023.0,-6.0
2025-09-01,Construction,8016.0,-7.0
2025-10-01,Construction,8013.0,-3.0
2025-11-01,Construction,8007.0,-6.0
2025-12-01,Construction,8006.0,-1.0
2026-01-01,Construction,8015.0,9.0
2026-02-01,Construction,8034.0,19.0
2026-03-01,Construction,8066.0,32.0
2026-04-01,Construction,8077.0,11.0
2026-05-01,Construction,8085.0,8.0
2026-06-01,Construction,8087.0,2.0
2026-07-01,Construction,8088.0,1.0
2010-01-01,Education and health services,18594.0,
2010-02-01,Education and health services,18591.0,-3.0
2010-03-01,Education and health services,18606.0,15.0
2010-04-01,Education and health services,18637.0,31.0
2010-05-01,Education and health services,18664.0,27.0
2010-06-01,Education and health services,18684.0,20.0
2010-07-01,Education and health services,18697.0,13.0
2010-08-01,Education and health services,18708.0,11.0
2010-09-01,Education and health services,18739.0,31.0
2010-10-01,Education and health services,18777.0,38.0
2010-11-01,Education and health services,18814.0,37.0
2010-12-01,Education and health services,18859.0,45.0
2011-01-01,Education and health services,18894.0,35.0
2011-02-01,Education and health services,18931.0,37.0
2011-03-01,Education and health services,18962.0,31.0
2011-04-01,Education and health services,18995.0,33.0
2011-05-01,Education and health services,19013.0,18.0
2011-06-01,Education and health services,19026.0,13.0
2011-07-01,Education and health services,19050.0,24.0
2011-08-01,Education and health services,19094.0,44.0
2011-09-01,Education and health services,19143.0,49.0
2011-10-01,Education and health services,19168.0,25.0
2011-11-01,Education and health services,19192.0,24.0
2011-12-01,Education and health services,19241.0,49.0
2012-01-01,Education and health services,19289.0,48.0
2012-02-01,Education and health services,19344.0,55.0
2012-03-01,Education and health services,19378.0,34.0
2012-04-01,Education and health services,19414.0,36.0
2012-05-01,Education and health services,19459.0,45.0
2012-06-01,Education and health services,19535.0,76.0
2012-07-01,Education and health services,19599.0,64.0
2012-08-01,Education and health services,19668.0,69.0
2012-09-01,Education and health services,19726.0,58.0
2012-10-01,Education and health services,19793.0,67.0
2012-11-01,Education and health services,19882.0,89.0
2012-12-01,Education and health services,19946.0,64.0
2013-01-01,Education and health services,20010.0,64.0
2013-02-01,Education and health services,20091.0,81.0
2013-03-01,Education and health services,20145.0,54.0
2013-04-01,Education and health services,20184.0,39.0
2013-05-01,Education and health services,20209.0,25.0
2013-06-01,Education and health services,20217.0,8.0
2013-07-01,Education and health services,20227.0,10.0
2013-08-01,Education and health services,20241.0,14.0
2013-09-01,Education and health services,20254.0,13.0
2013-10-01,Education and health services,20271.0,17.0
2013-11-01,Education and health services,20308.0,37.0
2013-12-01,Education and health services,20360.0,52.0
2014-01-01,Education and health services,20417.0,57.0
2014-02-01,Education and health services,20444.0,27.0
2014-03-01,Education and health services,20472.0,28.0
2014-04-01,Education and health services,20492.0,20.0
2014-05-01,Education and health services,20508.0,16.0
2014-06-01,Education and health services,20529.0,21.0
2014-07-01,Education and health services,20557.0,28.0
2014-08-01,Education and health services,20604.0,47.0
2014-09-01,Education and health services,20639.0,35.0
2014-10-01,Education and health services,20685.0,46.0
2014-11-01,Education and health services,20725.0,40.0
2014-12-01,Education and health services,20778.0,53.0
2015-01-01,Education and health services,20854.0,76.0
2015-02-01,Education and health services,20895.0,41.0
2015-03-01,Education and health services,20925.0,30.0
2015-04-01,Education and health services,20961.0,36.0
2015-05-01,Education and health services,21002.0,41.0
2015-06-01,Education and health services,21049.0,47.0
2015-07-01,Education and health services,21113.0,64.0
2015-08-01,Education and health services,21173.0,60.0
2015-09-01,Education and health services,21245.0,72.0
2015-10-01,Education and health services,21336.0,91.0
2015-11-01,Education and health services,21391.0,55.0
2015-12-01,Education and health services,21419.0,28.0
2016-01-01,Education and health services,21436.0,17.0
2016-02-01,Education and health services,21453.0,17.0
2016-03-01,Education and health services,21487.0,34.0
2016-04-01,Education and health services,21535.0,48.0
2016-05-01,Education and health services,21567.0,32.0
2016-06-01,Education and health services,21595.0,28.0
2016-07-01,Education and health services,21611.0,16.0
2016-08-01,Education and health services,21625.0,14.0
2016-09-01,Education and health services,21653.0,28.0
2016-10-01,Education and health services,21696.0,43.0
2016-11-01,Education and health services,21751.0,55.0
2016-12-01,Education and health services,21831.0,80.0
2017-01-01,Education and health services,21899.0,68.0
2017-02-01,Education and health services,21987.0,88.0
2017-03-01,Education and health services,22040.0,53.0
2017-04-01,Education and health services,22086.0,46.0
2017-05-01,Education and health services,22129.0,43.0
2017-06-01,Education and health services,22189.0,60.0
2017-07-01,Education and health services,22242.0,53.0
