date,employment_k,monthly_change_k
2010-01-01,104263.0,
2010-02-01,104225.0,-38.0
2010-03-01,104225.0,0.0
2010-04-01,104258.0,33.0
2010-05-01,104337.0,79.0
2010-06-01,104435.0,98.0
2010-07-01,104550.0,115.0
2010-08-01,104644.0,94.0
2010-09-01,104802.0,158.0
2010-10-01,104926.0,124.0
2010-11-01,105052.0,126.0
2010-12-01,105235.0,183.0
2011-01-01,105416.0,181.0
2011-02-01,105600.0,184.0
2011-03-01,105770.0,170.0
2011-04-01,105994.0,224.0
2011-05-01,106175.0,181.0
2011-06-01,106428.0,253.0
2011-07-01,106662.0,234.0
2011-08-01,106904.0,242.0
2011-09-01,107144.0,240.0
2011-10-01,107296.0,152.0
2011-11-01,107476.0,180.0
2011-12-01,107825.0,349.0
2012-01-01,108070.0,245.0
2012-02-01,108337.0,267.0
2012-03-01,108556.0,219.0
2012-04-01,108754.0,198.0
2012-05-01,108917.0,163.0
2012-06-01,109073.0,156.0
2012-07-01,109183.0,110.0
2012-08-01,109315.0,132.0
2012-09-01,109445.0,130.0
2012-10-01,109643.0,198.0
2012-11-01,109970.0,327.0
2012-12-01,110224.0,254.0
2013-01-01,110428.0,204.0
2013-02-01,110624.0,196.0
2013-03-01,110753.0,129.0
2013-04-01,110913.0,160.0
2013-05-01,111107.0,194.0
2013-06-01,111281.0,174.0
2013-07-01,111462.0,181.0
2013-08-01,111698.0,236.0
2013-09-01,111850.0,152.0
2013-10-01,112024.0,174.0
2013-11-01,112255.0,231.0
2013-12-01,112534.0,279.0
2014-01-01,112784.0,250.0
2014-02-01,112897.0,113.0
2014-03-01,113005.0,108.0
2014-04-01,113154.0,149.0
2014-05-01,113369.0,215.0
2014-06-01,113610.0,241.0
2014-07-01,113881.0,271.0
2014-08-01,114188.0,307.0
2014-09-01,114391.0,203.0
2014-10-01,114641.0,250.0
2014-11-01,114817.0,176.0
2014-12-01,115000.0,183.0
2015-01-01,115272.0,272.0
2015-02-01,115525.0,253.0
2015-03-01,115731.0,206.0
2015-04-01,115931.0,200.0
2015-05-01,116100.0,169.0
2015-06-01,116311.0,211.0
2015-07-01,116604.0,293.0
2015-08-01,116812.0,208.0
2015-09-01,117005.0,193.0
2015-10-01,117242.0,237.0
2015-11-01,117446.0,204.0
2015-12-01,117609.0,163.0
2016-01-01,117745.0,136.0
2016-02-01,117868.0,123.0
2016-03-01,118045.0,177.0
2016-04-01,118253.0,208.0
2016-05-01,118374.0,121.0
2016-06-01,118511.0,137.0
2016-07-01,118640.0,129.0
2016-08-01,118790.0,150.0
2016-09-01,119003.0,213.0
2016-10-01,119207.0,204.0
2016-11-01,119461.0,254.0
2016-12-01,119788.0,327.0
2017-01-01,119980.0,192.0
2017-02-01,120156.0,176.0
2017-03-01,120262.0,106.0
2017-04-01,120400.0,138.0
2017-05-01,120556.0,156.0
2017-06-01,120777.0,221.0
2017-07-01,120967.0,190.0
2017-08-01,121148.0,181.0
2017-09-01,121320.0,172.0
2017-10-01,121431.0,111.0
2017-11-01,121610.0,179.0
2017-12-01,121789.0,179.0
2018-01-01,121994.0,205.0
2018-02-01,122257.0,263.0
2018-03-01,122434.0,177.0
2018-04-01,122608.0,174.0
2018-05-01,122761.0,153.0
2018-06-01,122968.0,207.0
2018-07-01,123150.0,182.0
2018-08-01,123324.0,174.0
2018-09-01,123400.0,76.0
2018-10-01,123509.0,109.0
2018-11-01,123719.0,210.0
2018-12-01,123892.0,173.0
2019-01-01,124107.0,215.0
2019-02-01,124336.0,229.0
2019-03-01,124438.0,102.0
2019-04-01,124533.0,95.0
2019-05-01,124672.0,139.0
2019-06-01,124764.0,92.0
2019-07-01,124842.0,78.0
2019-08-01,124939.0,97.0
2019-09-01,124990.0,51.0
2019-10-01,125029.0,39.0
2019-11-01,125083.0,54.0
2019-12-01,125163.0,80.0
2020-01-01,125098.0,-65.0
2020-02-01,124969.0,-129.0
2020-03-01,124782.0,-187.0
2020-04-01,123327.0,-1455.0
2020-05-01,121499.0,-1828.0
2020-06-01,119957.0,-1542.0
2020-07-01,119115.0,-842.0
2020-08-01,118758.0,-357.0
2020-09-01,118978.0,220.0
2020-10-01,119197.0,219.0
2020-11-01,119424.0,227.0
2020-12-01,119612.0,188.0
