date,worker_type,median_pay_change_pct,median_annual_pay
2020-11-01,Job Changer,5.3,42400.0
2020-12-01,Job Changer,5.7,42900.0
2021-01-01,Job Changer,6.0,42900.0
2021-02-01,Job Changer,6.3,42900.0
2021-03-01,Job Changer,7.3,42600.0
2021-04-01,Job Changer,7.7,46700.0
2021-05-01,Job Changer,8.0,48100.0
2021-06-01,Job Changer,9.2,46000.0
2021-07-01,Job Changer,10.7,44500.0
2021-08-01,Job Changer,11.2,44400.0
2021-09-01,Job Changer,11.9,44600.0
2021-10-01,Job Changer,12.8,44300.0
2021-11-01,Job Changer,13.3,44900.0
2021-12-01,Job Changer,14.3,45200.0
2022-01-01,Job Changer,14.4,45800.0
2022-02-01,Job Changer,15.3,46200.0
2022-03-01,Job Changer,16.0,45900.0
2022-04-01,Job Changer,16.1,45800.0
2022-05-01,Job Changer,16.0,45900.0
2022-06-01,Job Changer,16.0,45500.0
2022-07-01,Job Changer,15.8,45200.0
2022-08-01,Job Changer,15.4,45700.0
2022-09-01,Job Changer,15.1,46300.0
2022-10-01,Job Changer,14.4,46400.0
2022-11-01,Job Changer,13.8,46400.0
2022-12-01,Job Changer,13.8,45600.0
2023-01-01,Job Changer,13.4,46400.0
2023-02-01,Job Changer,12.6,47200.0
2023-03-01,Job Changer,12.9,46700.0
2023-04-01,Job Changer,12.1,46300.0
2023-05-01,Job Changer,11.3,45900.0
2023-06-01,Job Changer,10.8,45600.0
2023-07-01,Job Changer,9.9,45700.0
2023-08-01,Job Changer,9.5,45500.0
2023-09-01,Job Changer,8.8,45500.0
2023-10-01,Job Changer,8.4,45600.0
2023-11-01,Job Changer,8.3,45600.0
2023-12-01,Job Changer,8.3,45500.0
2024-01-01,Job Changer,7.7,45600.0
2024-02-01,Job Changer,7.6,45900.0
2024-03-01,Job Changer,7.8,45400.0
2024-04-01,Job Changer,7.6,45600.0
2024-05-01,Job Changer,7.5,45000.0
2024-06-01,Job Changer,7.3,44400.0
2024-07-01,Job Changer,7.1,44100.0
2024-08-01,Job Changer,7.1,43900.0
2024-09-01,Job Changer,6.6,44200.0
2024-10-01,Job Changer,6.7,44500.0
2024-11-01,Job Changer,6.8,44600.0
2024-12-01,Job Changer,6.9,44900.0
2025-01-01,Job Changer,6.8,45300.0
2025-02-01,Job Changer,6.8,45700.0
2025-03-01,Job Changer,6.7,45300.0
2025-04-01,Job Changer,7.0,45000.0
2025-05-01,Job Changer,7.0,44500.0
2025-06-01,Job Changer,7.0,44700.0
2025-07-01,Job Changer,7.1,44600.0
2025-08-01,Job Changer,7.1,44400.0
2025-09-01,Job Changer,6.7,45100.0
2025-10-01,Job Changer,6.7,45000.0
2025-11-01,Job Changer,6.3,44700.0
2025-12-01,Job Changer,6.6,45100.0
2026-01-01,Job Changer,6.4,45300.0
2026-02-01,Job Changer,6.3,45800.0
2026-03-01,Job Changer,6.6,45300.0
2026-04-01,Job Changer,6.6,45200.0
2026-05-01,Job Changer,6.5,44500.0
2026-06-01,Job Changer,6.8,44600.0
2026-07-01,Job Changer,7.0,44700.0
2020-11-01,Job Stayer,2.9,52700.0
2020-12-01,Job Stayer,3.0,52900.0
2021-01-01,Job Stayer,3.1,53100.0
2021-02-01,Job Stayer,3.0,53000.0
2021-03-01,Job Stayer,3.0,52800.0
2021-04-01,Job Stayer,3.7,55700.0
2021-05-01,Job Stayer,4.1,56800.0
2021-06-01,Job Stayer,4.4,55800.0
2021-07-01,Job Stayer,4.9,55400.0
2021-08-01,Job Stayer,5.2,55500.0
2021-09-01,Job Stayer,5.6,55600.0
2021-10-01,Job Stayer,5.9,55800.0
2021-11-01,Job Stayer,6.3,56100.0
2021-12-01,Job Stayer,6.5,56600.0
2022-01-01,Job Stayer,6.8,57100.0
2022-02-01,Job Stayer,7.2,57300.0
2022-03-01,Job Stayer,7.6,57100.0
2022-04-01,Job Stayer,7.7,57200.0
2022-05-01,Job Stayer,7.8,57400.0
2022-06-01,Job Stayer,7.8,57400.0
2022-07-01,Job Stayer,7.6,57400.0
2022-08-01,Job Stayer,7.7,57500.0
2022-09-01,Job Stayer,7.8,57700.0
2022-10-01,Job Stayer,7.7,57900.0
2022-11-01,Job Stayer,7.6,58000.0
2022-12-01,Job Stayer,7.4,58200.0
2023-01-01,Job Stayer,7.4,58600.0
2023-02-01,Job Stayer,7.3,58800.0
2023-03-01,Job Stayer,6.9,58600.0
2023-04-01,Job Stayer,6.6,58800.0
2023-05-01,Job Stayer,6.5,58800.0
2023-06-01,Job Stayer,6.4,58800.0
2023-07-01,Job Stayer,6.1,59000.0
2023-08-01,Job Stayer,6.0,58900.0
2023-09-01,Job Stayer,5.8,58800.0
2023-10-01,Job Stayer,5.7,58900.0
2023-11-01,Job Stayer,5.6,59200.0
2023-12-01,Job Stayer,5.4,59100.0
2024-01-01,Job Stayer,5.3,59600.0
2024-02-01,Job Stayer,5.1,59800.0
2024-03-01,Job Stayer,5.0,59700.0
2024-04-01,Job Stayer,5.0,59800.0
2024-05-01,Job Stayer,5.0,59600.0
2024-06-01,Job Stayer,4.9,59800.0
2024-07-01,Job Stayer,4.8,60000.0
2024-08-01,Job Stayer,4.8,59900.0
2024-09-01,Job Stayer,4.7,60000.0
2024-10-01,Job Stayer,4.7,60000.0
2024-11-01,Job Stayer,4.7,60000.0
2024-12-01,Job Stayer,4.6,60100.0
