date,payems,unrate,civpart,payroll_change_k,payroll_three_month_avg_k
2019-01-01,150060.0,4.0,63.1,,
2019-02-01,150067.0,3.8,63.1,7.0,
2019-03-01,150295.0,3.8,63.0,228.0,
2019-04-01,150591.0,3.7,62.8,296.0,177.0
2019-05-01,150618.0,3.6,62.9,27.0,183.66666666666666
2019-06-01,150838.0,3.6,63.0,220.0,181.0
2019-07-01,150937.0,3.7,63.1,99.0,115.33333333333333
2019-08-01,151169.0,3.6,63.1,232.0,183.66666666666666
2019-09-01,151365.0,3.5,63.2,196.0,175.66666666666666
2019-10-01,151460.0,3.6,63.3,95.0,174.33333333333334
2019-11-01,151667.0,3.6,63.3,207.0,166.0
2019-12-01,151794.0,3.6,63.3,127.0,143.0
2020-01-01,152031.0,3.6,63.3,237.0,190.33333333333334
2020-02-01,152293.0,3.5,63.3,262.0,208.66666666666666
2020-03-01,150895.0,4.4,62.6,-1398.0,-299.6666666666667
2020-04-01,130426.0,14.8,60.1,-20469.0,-7201.666666666667
2020-05-01,133040.0,13.2,60.8,2614.0,-6417.666666666667
2020-06-01,137671.0,11.0,61.5,4631.0,-4408.0
2020-07-01,139255.0,10.2,61.5,1584.0,2943.0
2020-08-01,140821.0,8.4,61.7,1566.0,2593.6666666666665
2020-09-01,141770.0,7.8,61.4,949.0,1366.3333333333333
2020-10-01,142460.0,6.9,61.7,690.0,1068.3333333333333
2020-11-01,142733.0,6.7,61.5,273.0,637.3333333333334
2020-12-01,142548.0,6.7,61.5,-185.0,259.3333333333333
2021-01-01,142863.0,6.4,61.4,315.0,134.33333333333334
2021-02-01,143380.0,6.2,61.4,517.0,215.66666666666666
2021-03-01,144232.0,6.1,61.5,852.0,561.3333333333334
2021-04-01,144587.0,6.1,61.6,355.0,574.6666666666666
2021-05-01,145065.0,5.8,61.6,478.0,561.6666666666666
2021-06-01,145820.0,5.9,61.7,755.0,529.3333333333334
2021-07-01,146762.0,5.4,61.8,942.0,725.0
2021-08-01,147314.0,5.1,61.7,552.0,749.6666666666666
2021-09-01,147771.0,4.7,61.7,457.0,650.3333333333334
2021-10-01,148572.0,4.5,61.8,801.0,603.3333333333334
2021-11-01,149230.0,4.1,61.9,658.0,638.6666666666666
2021-12-01,149816.0,3.9,62.0,586.0,681.6666666666666
2022-01-01,150006.0,4.0,62.2,190.0,478.0
2022-02-01,150825.0,3.9,62.3,819.0,531.6666666666666
2022-03-01,151315.0,3.7,62.4,490.0,499.6666666666667
2022-04-01,151623.0,3.7,62.2,308.0,539.0
2022-05-01,151924.0,3.6,62.3,301.0,366.3333333333333
2022-06-01,152358.0,3.6,62.2,434.0,347.6666666666667
