date,initial_claims,claims_4wk_avg
2019-01-05,225000.0,
2019-01-12,218000.0,
2019-01-19,214000.0,
2019-01-26,234000.0,222750.0
2019-02-02,232000.0,224500.0
2019-02-09,226000.0,226500.0
2019-02-16,211000.0,225750.0
2019-02-23,221000.0,222500.0
2019-03-02,216000.0,218500.0
2019-03-09,218000.0,216500.0
2019-03-16,212000.0,216750.0
2019-03-23,210000.0,214000.0
2019-03-30,203000.0,210750.0
2019-04-06,196000.0,205250.0
2019-04-13,197000.0,201500.0
2019-04-20,222000.0,204500.0
2019-04-27,224000.0,209750.0
2019-05-04,225000.0,217000.0
2019-05-11,212000.0,220750.0
2019-05-18,215000.0,219000.0
2019-05-25,222000.0,218500.0
2019-06-01,223000.0,218000.0
2019-06-08,226000.0,221500.0
2019-06-15,217000.0,222000.0
2019-06-22,234000.0,225000.0
2019-06-29,226000.0,225750.0
2019-07-06,215000.0,223000.0
2019-07-13,211000.0,221500.0
2019-07-20,202000.0,213500.0
2019-07-27,206000.0,208500.0
2019-08-03,208000.0,206750.0
2019-08-10,212000.0,207000.0
2019-08-17,207000.0,208250.0
2019-08-24,213000.0,210000.0
2019-08-31,215000.0,211750.0
2019-09-07,207000.0,210500.0
2019-09-14,205000.0,210000.0
2019-09-21,211000.0,209500.0
2019-09-28,215000.0,209500.0
2019-10-05,209000.0,210000.0
2019-10-12,215000.0,212500.0
2019-10-19,210000.0,212250.0
2019-10-26,215000.0,212250.0
2019-11-02,214000.0,213500.0
2019-11-09,227000.0,216500.0
2019-11-16,229000.0,221250.0
2019-11-23,221000.0,222750.0
2019-11-30,231000.0,227000.0
2019-12-07,247000.0,232000.0
2019-12-14,236000.0,233750.0
2019-12-21,230000.0,236000.0
2019-12-28,231000.0,236000.0
2020-01-04,224000.0,230250.0
2020-01-11,207000.0,223000.0
2020-01-18,221000.0,220750.0
2020-01-25,210000.0,215500.0
2020-02-01,207000.0,211250.0
2020-02-08,202000.0,210000.0
2020-02-15,209000.0,207000.0
2020-02-22,218000.0,209000.0
2020-02-29,215000.0,211000.0
2020-03-07,208000.0,212500.0
2020-03-14,273000.0,228500.0
2020-03-21,2914000.0,902500.0
