date,payems,uspriv,usgovt,unrate,u6rate,civpart,emratio,ahe,ahe_prod,hours,food_services,local_education,construction,manufacturing,information,leisure,healthcare,labor_force,employed,nilf,unemployed,pte_economic,jolts_openings,jolts_quits_rate,payems_chg,uspriv_chg,usgovt_chg,food_services_chg,local_education_chg,construction_chg,manufacturing_chg,information_chg,leisure_chg,healthcare_chg,labor_force_chg,employed_chg,nilf_chg,unemployed_chg,pte_economic_chg,ahe_mom,ahe_yoy,ahe_prod_mom,ahe_prod_yoy,payroll_3m_avg,two_sector_chg,rest_chg,two_sector_share_pct
2019-01-01,150060.0,127552.0,22508.0,4.0,8.0,63.1,60.6,27.59,23.13,34.5,12002.9,7986.4,7425.0,12790.0,2842.0,16488.0,16112.4,162963.0,156487.0,95277.0,6475.0,5190.0,7502.0,2.3,,,,,,,,,,,,,,,,,,,,,,,
2019-02-01,150067.0,127542.0,22525.0,3.8,7.2,63.1,60.7,27.69,23.19,34.4,11999.4,7991.0,7395.0,12782.0,2843.0,16494.0,16135.8,162999.0,156863.0,95393.0,6136.0,4345.0,7066.0,2.4,7.0,-10.0,17.0,-3.5,4.600000000000364,-30.0,-8.0,1.0,6.0,23.399999999999636,36.0,376.0,116.0,-339.0,-845.0,0.36245016310256783,,0.25940337224383825,,,1.1000000000003638,5.899999999999636,15.714285714290913
2019-03-01,150295.0,127726.0,22569.0,3.8,7.4,63.0,60.6,27.77,23.29,34.5,12000.4,8015.5,7425.0,12788.0,2849.0,16504.0,16175.8,162904.0,156701.0,95633.0,6202.0,4507.0,7317.0,2.3,228.0,184.0,44.0,1.0,24.5,30.0,6.0,6.0,10.0,40.0,-95.0,-162.0,240.0,66.0,162.0,0.2889129649692901,,0.4312203536006809,,,25.5,202.5,11.18421052631579
2019-04-01,150591.0,127972.0,22619.0,3.7,7.4,62.8,60.5,27.79,23.33,34.4,12026.1,8032.3,7468.0,12785.0,2846.0,16527.0,16200.7,162586.0,156625.0,96107.0,5961.0,4687.0,7272.0,2.3,296.0,246.0,50.0,25.700000000000728,16.800000000000182,43.0,-3.0,-3.0,23.0,24.900000000001455,-318.0,-76.0,474.0,-241.0,180.0,0.07202016564638036,,0.17174753112922936,,177.0,42.50000000000091,253.4999999999991,14.358108108108416
2019-05-01,150618.0,128056.0,22562.0,3.6,7.1,62.9,60.6,27.88,23.4,34.4,12003.3,8009.6,7478.0,12778.0,2858.0,16507.0,16222.7,162751.0,156821.0,96110.0,5930.0,4362.0,7275.0,2.3,27.0,84.0,-57.0,-22.80000000000109,-22.699999999999818,10.0,-7.0,12.0,-20.0,22.0,165.0,196.0,3.0,-31.0,-325.0,0.32385750269881,,0.30004286326619223,,183.66666666666666,-45.50000000000091,72.50000000000091,-168.5185185185219
2019-06-01,150838.0,128234.0,22604.0,3.6,7.2,63.0,60.7,27.97,23.48,34.4,11999.0,7983.0,7502.0,12787.0,2875.0,16512.0,16253.0,163168.0,157232.0,95870.0,5935.0,4397.0,7194.0,2.3,220.0,178.0,42.0,-4.299999999999272,-26.600000000000364,24.0,9.0,17.0,5.0,30.299999999999272,417.0,411.0,-240.0,5.0,35.0,0.3228120516499233,,0.34188034188034067,,181.0,-30.899999999999636,250.89999999999964,-14.04545454545438
2019-07-01,150937.0,128365.0,22572.0,3.7,6.9,63.1,60.8,28.03,23.53,34.4,12006.0,7964.0,7526.0,12790.0,2866.0,16522.0,16276.8,163590.0,157529.0,95635.0,6061.0,3952.0,7042.0,2.4,99.0,131.0,-32.0,7.0,-19.0,24.0,3.0,-9.0,10.0,23.799999999999272,422.0,297.0,-235.0,126.0,-445.0,0.2145155523775477,,0.2129471890971013,,115.33333333333333,-12.0,111.0,-12.121212121212121
2019-08-01,151169.0,128544.0,22625.0,3.6,7.2,63.1,60.8,28.14,23.61,34.4,12074.7,7980.6,7530.0,12789.0,2865.0,16602.0,16311.9,163774.0,157829.0,95658.0,5945.0,4393.0,7178.0,2.3,232.0,179.0,53.0,68.70000000000073,16.600000000000364,4.0,-1.0,-1.0,80.0,35.100000000000364,184.0,300.0,23.0,-116.0,441.0,0.39243667499107016,,0.3399915002124887,,183.66666666666666,85.30000000000109,146.6999999999989,36.76724137931082
2019-09-01,151365.0,128712.0,22653.0,3.5,6.9,63.2,61.0,28.16,23.68,34.4,12138.9,7997.9,7547.0,12787.0,2871.0,16673.0,16344.2,164092.0,158339.0,95546.0,5753.0,4320.0,7124.0,2.3,196.0,168.0,28.0,64.19999999999891,17.299999999999272,17.0,-2.0,6.0,71.0,32.30000000000109,318.0,510.0,-112.0,-192.0,-73.0,0.0710732054015617,,0.2964845404489713,,175.66666666666666,81.49999999999818,114.50000000000182,41.581632653060296
2019-10-01,151460.0,128790.0,22670.0,3.6,6.9,63.3,61.0,28.24,23.75,34.4,12182.1,8011.3,7553.0,12733.0,2874.0,16722.0,16365.4,164416.0,158545.0,95429.0,5871.0,4358.0,7289.0,2.3,95.0,78.0,17.0,43.20000000000073,13.400000000000546,6.0,-54.0,3.0,49.0,21.19999999999891,324.0,206.0,-117.0,118.0,38.0,0.28409090909089496,,0.2956081081081141,,174.33333333333334,56.60000000000127,38.39999999999873,59.5789473684224
2019-11-01,151667.0,128958.0,22709.0,3.6,6.8,63.3,61.0,28.34,23.83,34.3,12206.8,8028.9,7541.0,12777.0,2885.0,16761.0,16404.5,164496.0,158629.0,95524.0,5868.0,4233.0,6888.0,2.3,207.0,168.0,39.0,24.69999999999891,17.599999999999454,-12.0,44.0,11.0,39.0,39.100000000000364,80.0,84.0,95.0,-3.0,-125.0,0.3541076487252104,,0.3368421052631465,,166.0,42.29999999999836,164.70000000000164,20.434782608694864
2019-12-01,151794.0,129068.0,22726.0,3.6,6.8,63.3,61.1,28.38,23.85,34.3,12217.9,8033.4,7527.0,12760.0,2891.0,16805.0,16421.6,164699.0,158845.0,95483.0,5853.0,4134.0,6699.0,2.3,127.0,110.0,17.0,11.100000000000364,4.5,-14.0,-17.0,6.0,44.0,17.099999999998545,203.0,216.0,-41.0,-15.0,-99.0,0.14114326040930436,,0.08392782207302663,,143.0,15.600000000000364,111.39999999999964,12.283464566929421
2020-01-01,152031.0,129250.0,22781.0,3.6,7.0,63.3,61.1,28.43,23.91,34.3,12218.5,8039.6,7575.0,12745.0,2901.0,16823.0,16451.9,164377.0,158508.0,95124.0,5869.0,4275.0,7124.0,2.3,237.0,182.0,55.0,0.6000000000003638,6.200000000000728,48.0,-15.0,10.0,18.0,30.30000000000291,-322.0,-337.0,-359.0,16.0,141.0,0.17618040873854657,3.0445813700616053,0.2515723270440251,3.3722438391699194,190.33333333333334,6.800000000001091,230.1999999999989,2.8691983122367475
2020-02-01,152293.0,129436.0,22857.0,3.5,7.0,63.3,61.1,28.54,24.03,34.3,12285.0,8055.6,7610.0,12743.0,2910.0,16889.0,16475.0,164467.0,158714.0,95161.0,5753.0,4378.0,6966.0,2.3,262.0,186.0,76.0,66.5,16.0,35.0,-2.0,9.0,66.0,23.099999999998545,90.0,206.0,37.0,-116.0,103.0,0.38691523039042774,3.069700252798846,0.5018820577164407,3.6222509702457995,208.66666666666666,82.5,179.5,31.48854961832061
2020-03-01,150895.0,128068.0,22827.0,4.4,8.8,62.6,59.8,28.73,24.12,34.1,11695.0,8049.7,7541.0,12684.0,2902.0,16158.0,16395.7,162559.0,155353.0,97200.0,7206.0,5763.0,5894.0,1.9,-1398.0,-1368.0,-30.0,-590.0,-5.900000000000546,-69.0,-59.0,-8.0,-731.0,-79.29999999999927,-1908.0,-3361.0,2039.0,1453.0,1385.0,0.6657323055361042,3.4569679510262796,0.3745318352059934,3.5637612709317423,-299.6666666666667,-595.9000000000005,-802.0999999999995,42.625178826895606
2020-04-01,130426.0,108517.0,21909.0,14.8,22.9,60.1,51.2,30.04,25.14,34.2,6317.3,7627.0,6522.0,11382.0,2643.0,8719.0,14879.6,156269.0,133185.0,103627.0,23084.0,10880.0,4606.0,1.5,-20469.0,-19551.0,-918.0,-5377.7,-422.6999999999998,-1019.0,-1302.0,-259.0,-7439.0,-1516.1000000000004,-6290.0,-22168.0,6427.0,15878.0,5117.0,4.559693699965184,8.096437567470316,4.228855721393043,7.758251178739828,-7201.666666666667,-5800.4,-14668.6,28.337485954370024
2020-05-01,133040.0,111647.0,21393.0,13.2,21.1,60.8,52.7,29.72,24.98,34.7,7701.7,7328.0,7004.0,11610.0,2609.0,9947.0,15205.9,158101.0,137173.0,101945.0,20929.0,10627.0,5612.0,1.7,2614.0,3130.0,-516.0,1384.3999999999996,-299.0,482.0,228.0,-34.0,1228.0,326.2999999999993,1832.0,3988.0,-1682.0,-2155.0,-253.0,-1.0652463382157085,6.599713055954082,-0.6364359586316648,6.75213675213675,-6417.666666666667,1085.3999999999996,1528.6000000000004,41.52257077276204
2020-06-01,137671.0,116259.0,21412.0,11.0,18.0,61.5,54.7,29.38,24.78,34.6,9117.9,7342.0,7159.0,11950.0,2622.0,11777.0,15577.8,159994.0,142342.0,100210.0,17652.0,9109.0,6129.0,1.9,4631.0,4612.0,19.0,1416.1999999999998,14.0,155.0,340.0,13.0,1830.0,371.89999999999964,1893.0,5169.0,-1735.0,-3277.0,-1518.0,-1.144010767160164,5.04111548087236,-0.8006405124099225,5.536626916524701,-4408.0,1430.1999999999998,3200.8,30.88317857914057
2020-07-01,139255.0,117741.0,21514.0,10.2,16.5,61.5,55.2,29.39,24.69,34.6,9636.6,7385.3,7196.0,11973.0,2622.0,12415.0,15703.3,160132.0,143779.0,100241.0,16352.0,8418.0,6530.0,2.2,1584.0,1482.0,102.0,518.7000000000007,43.30000000000018,37.0,23.0,0.0,638.0,125.5,138.0,1437.0,31.0,-1300.0,-691.0,0.034036759700484254,4.851944345344261,-0.3631961259079941,4.929876753081164,2943.0,562.0000000000009,1021.9999999999991,35.479797979798036
2020-08-01,140821.0,118821.0,22000.0,8.4,14.2,61.7,56.5,29.49,24.8,34.7,9757.2,7527.1,7226.0,11999.0,2640.0,12573.0,15785.8,160706.0,147245.0,99852.0,13461.0,7553.0,6429.0,2.1,1566.0,1080.0,486.0,120.60000000000036,141.80000000000018,30.0,26.0,18.0,158.0,82.5,574.0,3466.0,-389.0,-2891.0,-865.0,0.3402517863218657,4.797441364605537,0.44552450384771625,5.040237187632357,2593.6666666666665,262.40000000000055,1303.5999999999995,16.75606641123886
2020-09-01,141770.0,119841.0,21929.0,7.8,12.8,61.4,56.6,29.51,24.82,34.8,10007.8,7419.3,7253.0,12057.0,2695.0,13065.0,15849.3,160174.0,147620.0,100569.0,12554.0,6283.0,6511.0,2.2,949.0,1020.0,-71.0,250.59999999999854,-107.80000000000018,27.0,58.0,55.0,492.0,63.5,-532.0,375.0,717.0,-907.0,-1270.0,0.06781959986437158,4.794034090909105,0.08064516129031585,4.814189189189189,1366.3333333333333,142.79999999999836,806.2000000000016,15.047418335089397
