date,payroll_change_k,unrate,payems
2018-01-01,,4.0,147660.0
2018-02-01,394.0,4.1,148054.0
2018-03-01,226.0,4.0,148280.0
2018-04-01,140.0,4.0,148420.0
2018-05-01,322.0,3.8,148742.0
2018-06-01,218.0,4.0,148960.0
2018-07-01,60.0,3.8,149020.0
2018-08-01,257.0,3.8,149277.0
2018-09-01,81.0,3.7,149358.0
2018-10-01,169.0,3.8,149527.0
2018-11-01,90.0,3.8,149617.0
2018-12-01,192.0,3.9,149809.0
2019-01-01,251.0,4.0,150060.0
2019-02-01,7.0,3.8,150067.0
2019-03-01,228.0,3.8,150295.0
2019-04-01,296.0,3.7,150591.0
2019-05-01,27.0,3.6,150618.0
2019-06-01,220.0,3.6,150838.0
2019-07-01,99.0,3.7,150937.0
2019-08-01,232.0,3.6,151169.0
2019-09-01,196.0,3.5,151365.0
2019-10-01,95.0,3.6,151460.0
2019-11-01,207.0,3.6,151667.0
2019-12-01,127.0,3.6,151794.0
2020-01-01,237.0,3.6,152031.0
2020-02-01,262.0,3.5,152293.0
2020-03-01,-1398.0,4.4,150895.0
2020-04-01,-20469.0,14.8,130426.0
2020-05-01,2614.0,13.2,133040.0
2020-06-01,4631.0,11.0,137671.0
2020-07-01,1584.0,10.2,139255.0
2020-08-01,1566.0,8.4,140821.0
2020-09-01,949.0,7.8,141770.0
2020-10-01,690.0,6.9,142460.0
2020-11-01,273.0,6.7,142733.0
2020-12-01,-185.0,6.7,142548.0
2021-01-01,315.0,6.4,142863.0
2021-02-01,517.0,6.2,143380.0
2021-03-01,852.0,6.1,144232.0
2021-04-01,355.0,6.1,144587.0
2021-05-01,478.0,5.8,145065.0
2021-06-01,755.0,5.9,145820.0
2021-07-01,942.0,5.4,146762.0
2021-08-01,552.0,5.1,147314.0
2021-09-01,457.0,4.7,147771.0
2021-10-01,801.0,4.5,148572.0
2021-11-01,658.0,4.1,149230.0
2021-12-01,586.0,3.9,149816.0
2022-01-01,190.0,4.0,150006.0
2022-02-01,819.0,3.9,150825.0
2022-03-01,490.0,3.7,151315.0
2022-04-01,308.0,3.7,151623.0
2022-05-01,301.0,3.6,151924.0
2022-06-01,434.0,3.6,152358.0
2022-07-01,714.0,3.5,153072.0
2022-08-01,290.0,3.6,153362.0
2022-09-01,220.0,3.5,153582.0
2022-10-01,357.0,3.6,153939.0
2022-11-01,303.0,3.6,154242.0
2022-12-01,100.0,3.5,154342.0
2023-01-01,434.0,3.5,154776.0
2023-02-01,290.0,3.6,155066.0
2023-03-01,68.0,3.5,155134.0
2023-04-01,241.0,3.4,155375.0
2023-05-01,280.0,3.6,155655.0
2023-06-01,225.0,3.6,155880.0
2023-07-01,163.0,3.5,156043.0
2023-08-01,218.0,3.7,156261.0
2023-09-01,156.0,3.7,156417.0
2023-10-01,159.0,3.9,156576.0
2023-11-01,127.0,3.7,156703.0
2023-12-01,154.0,3.8,156857.0
2024-01-01,175.0,3.7,157032.0
2024-02-01,206.0,3.9,157238.0
2024-03-01,228.0,3.9,157466.0
2024-04-01,64.0,3.9,157530.0
2024-05-01,78.0,3.9,157608.0
2024-06-01,87.0,4.1,157695.0
2024-07-01,53.0,4.2,157748.0
2024-08-01,9.0,4.2,157757.0
2024-09-01,155.0,4.1,157912.0
2024-10-01,33.0,4.1,157945.0
2024-11-01,134.0,4.2,158079.0
2024-12-01,237.0,4.1,158316.0
2025-01-01,-48.0,4.0,158268.0
2025-02-01,42.0,4.2,158310.0
2025-03-01,67.0,4.2,158377.0
2025-04-01,108.0,4.2,158485.0
2025-05-01,13.0,4.3,158498.0
2025-06-01,-20.0,4.1,158478.0
2025-07-01,64.0,4.3,158542.0
2025-08-01,-70.0,4.3,158472.0
2025-09-01,76.0,4.4,158548.0
2025-10-01,-140.0,,158408.0
2025-11-01,41.0,4.5,158449.0
2025-12-01,-17.0,4.4,158432.0
2026-01-01,160.0,4.3,158592.0
2026-02-01,-156.0,4.4,158436.0
2026-03-01,214.0,4.3,158650.0
2026-04-01,148.0,4.3,158798.0
2026-05-01,63.0,4.3,158861.0
2026-06-01,31.0,4.2,158892.0
2026-07-01,21.0,4.1,158913.0
2026-08-01,162.0,4.1,159075.0
